word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
smoking	smok-	16	1	NA	NA	0	0
smoking	ing	16	1	NA	NA	0	0
cess	cess	16	2	1	1	1	0
sounding	sound-	16	1	NA	NA	0	0
sounding	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
meth	meth	16	2	1	1	0	1
i	i	16	1	NA	NA	0	0
guess	guess	16	1	1	1	0	0
he	he	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
press	press	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
yes	yes	16	1	1	1	1	0
he	he	16	1	NA	NA	0	0
must	must	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
insane	in-	16	1	NA	NA	0	0
insane	sane	16	1	2	1	0	0
wit	wit	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
brain	brain	16	3	2	1	0	1
on	on	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
cocaine	co-	16	2	NA	NA	0	0
cocaine	caine	16	2	2	1	1	1
lying	ly-	16	1	NA	NA	0	0
lying	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
dick	dick	16	3	3	1	0	1
saying	say-	16	1	NA	NA	0	0
saying	ing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
hit	hit	16	2	3	1	0	0
jane	jane	16	1	NA	NA	1	0
the	the	16	1	NA	NA	0	0
punk	punk	16	2	NA	NA	0	0
doctor	doc-	16	2	4	1	0	0
doctor	tor	16	3	4	2	0	1
i	i	16	1	NA	NA	0	0
gotcha	got-	16	2	4	1	0	0
gotcha	cha	16	1	4	2	0	0
so	so	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bose	bose	16	2	NA	NA	0	0
isle	isle	24	2	5	1	1	0
you	you	24	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
hostile	hos-	16	2	NA	NA	0	0
hostile	tile	16	1	5	1	0	0
you	you	16	1	NA	NA	0	0
end	end	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
missing	mis-	16	1	NA	NA	0	0
missing	sing	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
hoffa	hof-	16	2	NA	NA	0	0
hoffa	fa	16	1	5	1	1	1
my	my	16	1	NA	NA	0	0
style's	sty-	16	1	NA	NA	0	0
style's	le's	16	1	NA	NA	0	0
proper	pro-	16	2	NA	NA	0	0
proper	per	24	1	NA	NA	0	0
extraordinaire	ex-	24	1	NA	NA	0	0
extraordinaire	tra-	24	1	NA	NA	0	0
extraordinaire	or-	16	1	NA	NA	0	0
extraordinaire	din-	16	1	NA	NA	0	0
extraordinaire	aire	16	2	6	1	0	0
quite	quite	16	2	NA	NA	0	0
rare	rare	16	2	6	1	1	1
excellent	ex-	16	1	NA	NA	0	0
excellent	cel-	16	1	NA	NA	0	0
excellent	lent	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ear	ear	16	2	6	1	0	1
so	so	16	1	NA	NA	0	0
kid	kid	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
compare	com-	16	2	NA	NA	0	0
compare	pare	16	1	6	1	1	1
