word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
instinct	in-	8	1	NA	NA	0	0
instinct	stinct	8	1	NA	NA	0	0
leads	leads	8	1	NA	NA	0	0
me	me	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
flow	flow	4	1	1	1	1	1
everytime	eve-	16	1	NA	NA	0	0
everytime	ry-	16	1	NA	NA	0	0
everytime	time	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
brother	bro-	16	1	NA	NA	0	0
brother	ther	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
girl	girl	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bitch	bitch	8	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
ho	ho	4	1	1	1	1	1
trying	try-	24	1	NA	NA	0	0
trying	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sister	sis-	16	1	NA	NA	0	0
sister	ter	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	0
low	low	16	3	1	1	1	1
you	you	16	1	NA	NA	0	0
know	know	8	1	1	1	0	0
all	all	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
that	that	8	1	NA	NA	0	0
gots	gots	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	3	1	1	1	1
now	now	16	1	NA	NA	0	0
everybody	eve-	16	1	NA	NA	0	0
everybody	ry-	16	1	NA	NA	0	0
everybody	bo-	16	1	NA	NA	0	0
everybody	dy	16	1	NA	NA	0	0
knows	knows	16	2	1	1	0	0
there's	there's	16	1	NA	NA	0	0
exceptions	ex-	16	1	NA	NA	0	0
exceptions	cept-	16	1	NA	NA	0	0
exceptions	ions	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
this	this	16	2	NA	NA	0	0
