word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
minute	min-	16	1	NA	NA	0	0
minute	ute	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
two	two	8	1	1	1	0	0
and	and	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
much	much	8	1	NA	NA	0	0
respect	re-	16	1	NA	NA	0	0
respect	spect	8	1	NA	NA	0	0
due	due	8	1	1	1	1	1
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
difference	dif-	24	1	NA	NA	0	0
difference	fer-	24	1	NA	NA	0	0
difference	ence	24	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
world	world	16	3	2	1	1	1
and	and	16	1	NA	NA	0	0
although	al-	16	1	NA	NA	0	0
although	though	8	1	NA	NA	0	0
most	most	8	1	3	1	0	0
men	men	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
ho's	ho's	8	1	3	1	0	0
he	he	16	1	NA	NA	0	0
flows	flows	16	1	3	1	0	0
on	on	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
down	down	8	1	NA	NA	0	0
low	low	8	1	3	1	1	1
cuz	cuz	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
heard	heard	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
girl	girl	16	3	2	1	1	1
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
sweat	sweat	16	1	4	1	0	0
it	it	8	1	4	2	0	1
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
pathetic	pa-	16	1	NA	NA	0	0
pathetic	the-	16	1	4	1	0	0
pathetic	tic	8	1	4	2	1	0
to	to	16	1	NA	NA	0	0
let	let	16	1	4	1	0	0
it	it	16	3	4	2	0	1
get	get	16	1	4	1	0	0
me	me	16	1	4	2	0	0
involved	in-	16	1	NA	NA	0	0
involved	volved	8	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
he	he	8	1	5	1	0	0
said	said	8	1	5	2	0	0
she	she	8	1	5	1	0	0
said	said	16	1	5	2	0	0
crowd	crowd	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
perfect	per-	16	1	6	1	0	0
perfect	fect	8	1	6	2	0	0
i	i	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
props	props	8	1	NA	NA	0	0
to	to	16	1	NA	NA	1	0
those	those	8	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
deserve	de-	16	1	6	1	0	0
deserve	serve	16	1	6	2	0	0
it	it	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
he's	he's	8	1	NA	NA	0	0
worth	worth	16	1	6	1	0	0
it	it	16	5	6	2	1	1
so	so	16	1	NA	NA	0	0
here's	here's	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
future	fut-	16	1	NA	NA	0	0
future	ure	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
got	got	8	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
past	past	16	3	7	1	1	1
i	i	16	1	NA	NA	0	0
finally	fin-	24	1	NA	NA	0	0
finally	al-	24	1	NA	NA	0	0
finally	ly	24	1	NA	NA	0	0
found	found	16	1	NA	NA	0	0
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	NA	NA	0	0
somebody	dy	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
laugh	laugh	40	29	7	1	1	1
you	you	10	1	NA	NA	0	0
so	so	10	1	NA	NA	0	0
crazy	cra-	10	1	8	1	0	0
crazy	zy	80	33	8	2	1	1
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
your	your	8	1	NA	NA	0	0
baby	ba-	8	1	8	1	0	0
baby	by	16	1	8	2	1	1
