word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
you	you	32	1	NA	NA	0	0
need	need	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
real	real	32	3	NA	NA	0	0
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	32	2	NA	NA	0	0
shorty	shor-	32	1	1	1	0	0
shorty	ty	32	3	1	2	0	0
so	so	16	1	NA	NA	0	0
come	come	32	1	NA	NA	0	0
in	in	32	3	NA	NA	0	1
throw	throw	32	1	NA	NA	0	0
that	that	32	2	NA	NA	0	0
pussy	pus-	32	1	NA	NA	0	0
pussy	sy	32	2	NA	NA	0	0
shorty	shor-	32	1	1	1	0	0
shorty	ty	32	3	1	2	1	0
see	see	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
and	and	32	2	NA	NA	0	0
me	me	32	2	NA	NA	0	0
can	can	32	1	NA	NA	0	0
make	make	32	2	2	1	0	0
it	it	32	5	2	2	0	1
this	this	32	1	NA	NA	0	0
little	lit-	32	1	NA	NA	0	0
little	tle	32	1	NA	NA	0	0
verse	verse	32	2	NA	NA	0	0
to	to	32	1	NA	NA	0	0
get	get	32	2	NA	NA	0	0
you	you	32	1	NA	NA	0	0
naked	na-	32	2	2	1	0	0
naked	ked	16	3	2	2	1	1
see	see	32	1	NA	NA	0	0
your	your	32	1	NA	NA	0	0
heart	heart	32	2	NA	NA	0	0
ain't	ain't	32	1	NA	NA	0	0
meant	meant	32	2	NA	NA	0	0
for	for	32	1	NA	NA	0	0
breaking	break-	32	2	NA	NA	0	0
breaking	ing	16	2	NA	NA	0	1
cupid's	cu-	32	1	NA	NA	0	0
cupid's	pid's	32	3	NA	NA	0	0
never	ne-	32	2	NA	NA	0	0
never	ver	32	1	NA	NA	0	0
been	been	32	2	NA	NA	0	0
mistaken	mis-	32	1	NA	NA	0	0
mistaken	ta-	32	2	2	1	0	0
mistaken	ken	16	1	2	2	1	0
see	see	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
caught	caught	32	2	NA	NA	0	0
up	up	32	1	NA	NA	0	0
in	in	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
moment	mo-	32	2	4	1	0	0
moment	ment	16	3	4	2	0	1
shit	shit	32	1	NA	NA	0	0
my	my	32	1	NA	NA	0	0
type	type	32	2	3	1	0	0
ain't	ain't	32	1	NA	NA	0	0
quite	quite	32	2	NA	NA	0	0
her	her	32	1	NA	NA	0	0
type	type	16	2	3	1	1	1
but	but	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
gangsta	gang-	32	2	NA	NA	0	0
gangsta	sta	32	1	NA	NA	0	0
nigga	nig-	32	2	NA	NA	0	0
nigga	ga	32	1	NA	NA	0	0
on	on	16	1	4	1	0	0
it	it	16	1	4	2	0	1
she	she	32	1	NA	NA	0	0
can	can	32	1	NA	NA	0	0
twist	twist	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
weed	weed	32	2	NA	NA	0	0
and	and	32	1	NA	NA	0	0
hit	hit	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
yac	yac	8	1	5	1	1	1
i	i	32	1	NA	NA	0	0
can	can	32	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
type	type	32	2	NA	NA	0	0
without	with-	32	1	NA	NA	0	0
without	out	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
hat	hat	4	1	5	1	0	1
put	put	32	1	NA	NA	0	0
that	that	32	1	NA	NA	0	0
pussy	pus-	32	2	NA	NA	0	0
pussy	sy	32	1	NA	NA	0	0
on	on	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
map	map	4	1	5	1	1	1
i	i	32	1	NA	NA	0	0
see	see	32	1	NA	NA	0	0
qualities	qual-	32	2	NA	NA	0	0
qualities	i-	32	1	NA	NA	0	0
qualities	ties	32	3	NA	NA	0	0
in	in	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
bad	bad	32	3	6	1	0	0
girl	girl	32	10	6	2	0	1
i	i	32	1	NA	NA	0	0
know	know	32	1	NA	NA	0	0
that	that	32	1	NA	NA	0	0
ass	ass	32	2	NA	NA	0	0
you	you	32	1	NA	NA	0	0
got	got	32	3	NA	NA	1	0
come	come	32	1	NA	NA	0	0
with	with	32	1	NA	NA	0	0
attitude	at-	32	2	NA	NA	0	0
attitude	ti-	32	1	NA	NA	0	0
attitude	tude	32	3	NA	NA	0	0
and	and	32	1	NA	NA	0	0
your	your	32	1	NA	NA	0	0
swag	swag	32	3	6	1	0	0
girl	girl	96	31	6	2	0	1
you	you	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
wrong	wrong	32	3	7	1	0	0
girl	girl	32	11	7	2	1	1
just	just	32	1	NA	NA	0	0
when	when	32	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
door	door	16	1	NA	NA	0	0
knock	knock	16	1	NA	NA	0	0
lose	lose	32	1	NA	NA	0	0
your	your	32	1	NA	NA	0	0
thong	thong	32	3	7	1	0	0
girl	girl	16	1	7	2	1	1
