word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
lord	lord	16	2	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
weight	weight	16	1	1	1	0	0
up	up	16	3	1	2	0	1
fuck	fuck	16	1	NA	NA	0	0
y'all	y'all	16	3	NA	NA	0	0
pay	pay	16	1	1	1	0	0
up	up	16	2	1	2	1	1
my	my	16	1	NA	NA	0	0
bars	bars	16	2	NA	NA	0	0
just	just	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
slick	slick	16	1	2	1	0	0
as	as	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dick	dick	16	2	2	1	0	0
and	and	16	1	NA	NA	0	0
both	both	16	2	NA	NA	0	0
stay	stay	16	1	1	1	0	0
up	up	16	3	1	2	1	1
nicer	ni-	16	1	NA	NA	0	0
nicer	cer	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
say	say	16	1	1	1	0	0
what	what	16	3	1	2	0	1
wait	wait	16	1	1	1	0	0
up	up	16	3	1	2	0	1
straight	straight	16	1	1	1	0	0
up	up	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
finish	fin-	16	1	NA	NA	0	0
finish	ish	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
right	right	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bat	bat	16	3	NA	NA	0	1
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lay	lay	16	1	1	1	0	0
up	up	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
come	come	16	3	3	1	0	1
i	i	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
go	go	16	3	4	1	1	1
but	but	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
from	from	16	2	3	1	0	1
b	b	16	1	NA	NA	0	0
r	r	16	3	NA	NA	0	0
double	doub-	16	1	NA	NA	0	0
double	le	16	1	NA	NA	0	0
o	o	16	1	4	1	1	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rest	rest	16	2	NA	NA	0	0
pimping	pimp-	16	1	5	1	0	0
pimping	in'	16	2	5	2	0	1
yeah	yeah	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
bred	bred	16	2	NA	NA	0	0
different	dif-	32	1	5	1	0	0
different	fer-	32	1	NA	NA	0	0
different	ent	16	2	5	2	1	1
here	here	16	1	NA	NA	0	0
come	come	16	2	NA	NA	0	0
pops	pops	16	2	6	1	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
n	n	16	1	NA	NA	0	0
y	y	16	2	NA	NA	0	0
bop	bop	16	2	6	1	0	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
leg	leg	16	2	NA	NA	0	0
limping	limp-	16	2	5	1	0	0
limping	in'	16	3	5	2	1	1
my	my	16	1	NA	NA	0	0
ice	ice	16	2	NA	NA	0	0
mug	mug	16	2	NA	NA	0	0
frozen	fro-	16	1	NA	NA	0	0
frozen	zen	16	1	NA	NA	0	0
till	till	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
stiff	stiff	16	4	7	1	1	1
grimy	gri-	16	1	NA	NA	0	0
grimy	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
might	might	16	2	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
hold	hold	16	1	NA	NA	0	0
onto	on-	16	1	NA	NA	0	0
onto	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
bitch	bitch	16	1	7	1	1	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
way	way	16	1	8	1	0	0
with	with	16	1	8	2	0	0
women	wo-	16	1	8	3	0	0
women	men	16	1	8	4	0	0
i	i	16	1	NA	NA	0	0
faithfully	faith-	16	1	NA	NA	0	0
faithfully	ful-	16	1	NA	NA	0	0
faithfully	ly	16	1	NA	NA	0	0
play	play	16	1	8	1	0	0
with	with	16	1	8	2	0	0
women	wo-	16	1	8	3	0	0
women	men	16	3	8	4	1	1
let	let	16	1	NA	NA	0	0
em	em	16	2	NA	NA	0	0
suck	suck	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
bottle	bot-	16	1	NA	NA	0	0
bottle	tle	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
pray	pray	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
baby	ba-	16	1	8	1	0	0
baby	by	16	1	8	2	0	0
in	in	16	1	8	3	0	0
em	em	16	4	8	4	1	1
i	i	16	1	NA	NA	0	0
might	might	16	2	NA	NA	0	0
just	just	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gold	gold	16	2	9	1	0	0
fronts	fronts	16	3	9	2	1	1
pour	pour	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
cup	cup	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
e	e	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
j	j	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
light	light	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dro	dro	16	2	9	1	0	0
blunt	blunt	16	4	9	2	1	1
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
never	ne-	16	1	10	1	0	0
never	ver	16	1	10	2	0	0
soft	soft	16	2	10	3	0	1
never	ne-	16	1	10	1	0	0
never	ver	16	1	10	2	0	0
saw	saw	16	1	10	3	0	0
me	me	16	1	NA	NA	0	0
flinching	flinch-	16	1	NA	NA	0	0
flinching	in'	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
letting	let-	16	1	10	1	0	0
letting	ting	16	1	10	2	0	0
off	off	16	2	10	3	1	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
retaliate	re-	16	1	NA	NA	0	0
retaliate	ta-	16	1	NA	NA	0	0
retaliate	li-	16	1	NA	NA	0	0
retaliate	ate	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
set	set	16	1	10	1	0	0
it	it	16	1	10	2	0	0
off	off	16	1	10	3	1	1
