word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gangsta	gang-	16	1	NA	NA	0	0
gangsta	sta	16	4	NA	NA	0	1
but	but	16	1	NA	NA	0	0
y'all	y'all	16	2	NA	NA	0	0
knew	knew	16	1	1	1	0	1
that	that	16	4	1	2	1	0
da	da	16	1	NA	NA	0	0
big	big	16	2	NA	NA	0	0
boss	boss	16	2	NA	NA	0	0
dogg	dogg	16	2	NA	NA	0	0
yeah	yeah	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
do	do	16	1	1	1	0	0
that	that	16	4	1	2	1	1
i	i	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
blue	blue	16	2	1	1	0	0
flag	flag	16	2	1	2	0	0
hanging	hang-	16	1	NA	NA	0	0
hanging	ing	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
backside	back-	16	2	2	1	0	0
backside	side	16	1	2	2	1	1
but	but	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
left	left	16	2	2	1	0	0
side	side	16	2	2	2	0	1
yeah	yeah	16	2	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crip	crip	16	2	2	1	0	0
side	side	16	4	2	2	1	1
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
other	o-	16	1	NA	NA	0	0
other	ther	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
play	play	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
game	game	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
play	play	16	3	2	1	1	1
i	i	16	1	NA	NA	0	0
cut	cut	16	2	NA	NA	0	0
so	so	16	1	NA	NA	0	0
much	much	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dj	d-	16	2	NA	NA	0	0
dj	j	16	4	2	1	1	1
two	two	16	6	NA	NA	0	0
one	one	16	2	NA	NA	0	0
yep	yep	16	2	NA	NA	0	0
three	three	16	2	3	1	1	1
s	s	16	2	NA	NA	0	0
n	n	16	2	NA	NA	0	0
double	doub-	16	1	NA	NA	0	0
double	le	16	1	NA	NA	0	0
o	o	16	2	NA	NA	0	0
p	p	16	2	NA	NA	0	0
d	d	16	1	NA	NA	0	0
o	o	16	1	NA	NA	0	0
double	doub-	16	1	NA	NA	0	0
double	le	16	1	NA	NA	0	0
g	g	16	5	3	1	1	1
i	i	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
fake	fake	16	1	4	1	0	0
it	it	16	1	4	2	0	0
just	just	16	1	NA	NA	0	0
break	break	16	1	4	1	0	0
it	it	16	1	4	2	0	0
and	and	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
take	take	16	1	4	1	0	0
it	it	16	1	4	2	0	0
see	see	16	1	NA	NA	0	0
i	i	16	1	NA	NA	1	0
specialize	spe-	16	1	NA	NA	0	0
specialize	cial-	16	1	NA	NA	0	0
specialize	ize	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
making	mak-	16	1	NA	NA	0	0
making	ing	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
girls	girls	16	2	NA	NA	0	0
get	get	16	2	NA	NA	0	0
naked	na-	16	1	4	1	0	0
naked	ked	16	4	4	2	1	1
so	so	16	1	NA	NA	0	0
bring	bring	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
friends	friends	16	2	NA	NA	0	0
all	all	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
inside	in-	16	1	NA	NA	0	0
inside	side	16	2	5	1	1	1
we	we	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
premiere	pre-	16	1	NA	NA	0	0
premiere	miere	16	2	NA	NA	0	0
right	right	16	2	NA	NA	0	0
here	here	16	2	NA	NA	0	0
now	now	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
live	live	16	3	5	1	1	1
so	so	16	1	NA	NA	0	0
don't	don't	12	1	NA	NA	0	0
change	change	12	1	NA	NA	0	0
the	the	12	1	NA	NA	0	0
dizzle	diz-	16	1	6	1	0	0
dizzle	zle	16	3	6	2	0	1
turn	turn	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
