word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
a	a	16	2	NA	NA	0	0
dollar	dol-	16	1	NA	NA	0	0
dollar	lar	32	3	NA	NA	0	0
for	for	32	1	NA	NA	0	0
everytime	eve-	20	1	NA	NA	0	0
everytime	ry-	20	1	NA	NA	0	0
everytime	time	20	1	NA	NA	0	0
you	you	20	1	NA	NA	0	0
look	look	20	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
sideways	side-	16	1	1	1	0	0
sideways	ways	16	2	1	2	1	1
i'll	i'll	16	1	NA	NA	0	0
pay	pay	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
westside	west-	16	1	NA	NA	0	0
westside	side	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
friday's	fri-	16	1	1	1	0	0
friday's	day's	16	1	1	2	0	0
to	to	16	1	NA	NA	0	0
build	build	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
playa	play-	24	1	NA	NA	0	0
playa	a	24	1	NA	NA	0	0
haters	ha-	24	1	NA	NA	0	0
haters	ters	24	1	NA	NA	0	0
y'all	y'all	24	1	NA	NA	0	0
own	own	24	1	NA	NA	0	0
highways	high-	16	1	1	1	0	0
highways	ways	16	4	1	2	1	1
don't	don't	16	1	NA	NA	0	0
trip	trip	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	0
partner	part-	16	1	2	1	0	0
partner	ner	16	2	2	2	0	1
no	no	16	1	NA	NA	0	0
uh	uh	16	1	NA	NA	0	0
uh	uh	16	2	NA	NA	1	1
i'm	i'm	16	1	NA	NA	0	0
having	hav-	16	1	NA	NA	0	0
having	in'	16	1	NA	NA	0	0
visions	vi-	16	1	NA	NA	0	0
visions	sions	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
bloody	blood-	16	1	NA	NA	0	0
bloody	y	16	1	NA	NA	0	0
mary	ma-	16	1	NA	NA	0	0
mary	ry	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
aids	aids	16	2	NA	NA	0	0
trying	try-	24	1	7	1	0	0
trying	in'	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
give	give	24	1	NA	NA	0	0
me	me	24	1	NA	NA	0	0
some	some	24	1	NA	NA	0	0
nana	na-	16	1	2	1	0	0
nana	na	16	3	2	2	1	1
you	you	8	1	NA	NA	0	0
can't	can't	8	1	NA	NA	0	0
dictate	dict-	8	1	NA	NA	0	0
dictate	ate	16	3	NA	NA	0	0
mines	mines	16	2	7	1	1	1
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
baby	ba-	16	1	6	1	0	0
baby	by	16	1	6	2	0	1
besides	be-	16	1	NA	NA	0	0
besides	sides	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
feeling	fee-	16	1	NA	NA	0	0
feeling	lin'	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
fine	fine	16	3	7	1	1	1
all	all	16	2	NA	NA	0	0
natural	na-	16	1	NA	NA	0	0
natural	tur-	16	1	NA	NA	0	0
natural	al	16	1	NA	NA	0	0
like	like	48	7	NA	NA	0	0
oat	oat	12	1	NA	NA	0	0
bran	bran	24	1	NA	NA	0	0
engineered	en-	48	1	NA	NA	0	0
engineered	gine-	48	1	NA	NA	0	0
engineered	ered	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
other	o-	16	1	8	1	0	0
other	ther	16	3	8	2	1	1
fly	fly	48	5	NA	NA	0	0
for	for	24	1	NA	NA	0	0
life	life	24	1	NA	NA	0	0
still	still	24	1	NA	NA	0	0
as	as	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
mannequin	man-	24	1	NA	NA	0	0
mannequin	ne-	24	1	NA	NA	0	0
mannequin	quin	6	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
comes	comes	24	2	NA	NA	0	0
to	to	24	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
mother	mo-	16	1	8	1	0	0
mother	ther	16	3	8	2	1	1
capricorn	ca-	16	1	NA	NA	0	0
capricorn	pri-	16	1	NA	NA	0	0
capricorn	corn	16	2	NA	NA	0	0
baby	ba-	16	1	6	1	0	0
baby	by	16	1	6	2	0	0
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
stubborn	stub-	16	1	NA	NA	0	0
stubborn	born	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
you	you	16	2	9	1	1	1
so	so	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
me	me	20	1	NA	NA	0	0
a	a	20	1	NA	NA	0	0
favor	fa-	20	1	NA	NA	0	0
favor	vor	20	1	NA	NA	0	0
and	and	20	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
lie	lie	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
that	that	32	3	NA	NA	0	0
fool	fool	16	4	9	1	1	1
don't	don't	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
twisted	twis-	16	1	NA	NA	0	0
twisted	ted	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
too	too	32	3	9	1	1	1
but	but	32	1	NA	NA	0	0
when	when	32	1	NA	NA	0	0
that	that	32	1	NA	NA	0	0
rent	rent	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
that	that	12	1	NA	NA	0	0
car	car	12	1	NA	NA	0	0
note	note	12	1	NA	NA	0	0
come	come	12	1	NA	NA	0	0
what	what	12	1	NA	NA	0	0
love	love	16	2	NA	NA	0	0
gon'	gon'	16	1	NA	NA	0	0
do	do	16	3	9	1	1	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	2	NA	NA	0	1
my	my	16	1	NA	NA	0	0
money's	mo-	16	1	NA	NA	0	0
money's	ney's	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
clock	clock	16	4	10	1	0	1
right	right	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
block	block	16	3	10	1	1	1
you	you	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
stack	stack	16	1	NA	NA	0	0
big	big	16	1	NA	NA	0	0
knot	knot	16	3	10	1	0	1
my	my	16	1	NA	NA	0	0
