word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
these	these	16	1	NA	NA	0	0
conditions	con-	16	1	NA	NA	0	0
conditions	di-	16	1	NA	NA	0	0
conditions	tions	16	1	NA	NA	0	0
make	make	16	1	1	1	0	0
us	us	16	1	1	2	0	0
strong	strong	16	3	1	3	0	1
and	and	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
create	cre-	16	1	NA	NA	0	0
create	ate	16	1	1	1	0	0
our	our	16	1	1	2	0	0
own	own	16	2	1	3	1	0
businesses	busi-	16	1	NA	NA	0	0
businesses	nes-	16	1	NA	NA	0	0
businesses	ses	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
later	lat-	16	1	1	1	0	0
later	er	16	1	1	2	0	0
on	on	16	3	1	3	0	1
our	our	16	1	NA	NA	0	0
children	child-	16	1	NA	NA	0	0
children	ren	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
things	things	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
they	they	16	1	NA	NA	1	0
name	name	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
say	say	16	1	1	1	0	0
they	they	16	1	1	2	0	0
own	own	16	3	1	3	0	1
a	a	16	1	NA	NA	0	0
mix	mix	16	2	NA	NA	0	0
tape	tape	16	2	NA	NA	0	0
freestyle	free-	16	2	NA	NA	0	0
freestyle	style	16	1	NA	NA	1	0
become	be-	16	1	NA	NA	0	0
become	come	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
favorite	fa-	16	1	1	1	0	0
favorite	vorite	16	1	1	2	0	0
song	song	16	3	1	3	0	1
no	no	16	1	NA	NA	0	0
place	place	16	1	1	1	0	0
like	like	16	1	1	2	0	0
home	home	16	2	1	3	1	0
when	when	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cops	cops	16	1	NA	NA	0	0
ask	ask	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	2	1	0	0
your	your	16	1	2	2	0	0
neighbors	neigh-	16	1	2	3	0	0
neighbors	bors	16	2	2	4	1	1
beat	beat	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
threaten	threa-	16	1	NA	NA	0	0
threaten	ten	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
incarcerate	in-	16	1	NA	NA	0	0
incarcerate	car-	16	1	2	1	0	0
incarcerate	cer-	16	1	2	2	0	0
incarcerate	ate	16	1	2	3	0	0
you	you	16	1	2	4	0	0
till	till	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
spill	spill	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
guts	guts	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
garcia	gar-	16	1	2	1	0	0
garcia	cia	16	1	2	2	0	0
vega	ve-	16	1	2	3	0	0
vega	ga	16	2	2	4	1	1
we	we	16	1	NA	NA	0	0
roll	roll	16	2	NA	NA	0	0
blunts	blunts	16	2	NA	NA	0	0
not	not	16	1	2	1	0	0
the	the	16	1	2	2	0	0
papers	pa-	16	1	2	3	0	0
papers	pers	16	1	2	4	0	0
cop	cop	16	1	2	1	0	0
the	the	16	1	2	2	0	0
greatest	great-	16	1	2	3	0	0
greatest	est	16	1	2	4	1	0
take	take	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
coast	coast	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
coast	coast	16	1	NA	NA	0	0
l	l	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
chicago	chi-	16	1	NA	NA	0	0
chicago	ca-	16	1	NA	NA	0	0
chicago	go	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
smooth	smooth	16	2	NA	NA	0	0
operators	o-	16	1	2	1	0	0
operators	per-	16	1	2	2	0	0
operators	a-	16	1	2	3	0	0
operators	tors	16	3	2	4	1	1
cop	cop	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dro	dro	16	1	3	1	0	0
and	and	16	1	3	2	0	0
cop	cop	16	1	3	3	0	0
the	the	16	1	3	4	0	0
blacks	blacks	16	2	3	5	0	1
cop	cop	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
four	four	16	2	3	1	0	0
cock	cock	16	1	3	3	0	0
it	it	16	1	3	4	0	0
back	back	16	2	3	5	1	1
drop	drop	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	1	3	1	0	0
or	or	16	1	3	2	0	0
rock	rock	16	1	3	3	0	0
a	a	16	1	3	4	0	0
hat	hat	16	1	3	5	0	0
on	on	16	1	NA	NA	0	0
top	top	16	1	3	1	0	0
a	a	16	1	3	2	0	0
stocking	stock-	16	1	3	3	0	0
stocking	ing	16	1	3	4	0	0
cap	cap	16	1	3	5	1	1
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
doctor	doc-	16	1	NA	NA	0	0
doctor	tor	24	1	NA	NA	0	0
or	or	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
lawyer	law-	16	1	NA	NA	0	0
