word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
ton	ton	16	2	1	1	0	0
what	what	16	1	1	2	0	0
is	is	16	1	1	3	0	0
this	this	16	1	1	4	1	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
aint	aint	16	2	NA	NA	0	0
talking	talk-	16	1	NA	NA	0	0
talking	ing	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
grown	grown	16	2	1	1	0	0
man	man	16	2	1	2	0	0
business	busi-	16	1	1	3	0	0
business	ness	16	1	1	4	0	1
be	be	16	1	NA	NA	0	0
your	your	16	1	NA	NA	1	0
own	own	16	2	1	1	0	0
man	man	16	2	1	2	0	0
stand	stand	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
own	own	16	2	NA	NA	0	0
feet	feet	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
thought	thought	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
homies	hom-	16	1	2	1	0	0
homies	ies	16	3	2	2	1	1
but	but	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
comin	com-	16	1	NA	NA	0	0
comin	in	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dont	dont	16	2	NA	NA	0	0
know	know	16	1	2	1	0	0
me	me	16	6	2	2	1	1
you	you	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
do	do	16	2	NA	NA	0	0
well	well	16	1	NA	NA	0	0
youre	youre	16	1	NA	NA	0	0
probably	pro-	16	1	3	1	0	0
probably	bly	16	1	3	2	0	0
wrong	wrong	16	2	3	3	1	0
im	im	16	1	NA	NA	0	0
surrounded	sur-	16	1	NA	NA	0	0
surrounded	round-	16	1	NA	NA	0	0
surrounded	ed	16	1	NA	NA	0	0
by	by	16	2	NA	NA	0	0
more	more	16	2	NA	NA	0	0
babies	ba-	16	1	NA	NA	0	0
babies	bies	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
ashanti	ash-	16	1	NA	NA	0	0
ashanti	an-	16	1	3	1	0	0
ashanti	ti	16	1	3	2	0	0
songs	songs	16	3	3	3	1	1
oh	oh	16	2	NA	NA	0	0
baby	ba-	16	2	NA	NA	0	0
baby	by	16	4	NA	NA	0	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dont	dont	16	2	4	1	0	0
get	get	16	1	4	2	0	0
it	it	16	3	4	3	1	1
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
shoes	shoes	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wont	wont	16	2	4	1	0	0
fit	fit	16	1	4	2	0	0
it	it	16	6	4	3	1	1
just	just	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
flow	flow	16	2	NA	NA	0	0
too	too	16	3	NA	NA	1	1
theres	theres	16	1	NA	NA	0	0
more	more	16	2	4	1	0	0
to	to	16	1	4	2	0	0
it	it	16	1	4	3	0	0
you	you	16	1	NA	NA	0	0
wont	wont	16	2	4	1	0	0
