word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
a	a	16	1	NA	NA	0	0
lotta	lot-	16	1	NA	NA	0	0
lotta	ta	16	1	NA	NA	0	0
cats	cats	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	24	1	NA	NA	0	0
on	on	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
microphone	mic-	16	1	NA	NA	0	0
microphone	ro-	16	1	NA	NA	0	0
microphone	phone	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
front	front	16	4	1	1	1	1
they	they	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
rollin	rol-	24	1	NA	NA	0	0
rollin	lin	24	1	NA	NA	0	0
in	in	24	1	NA	NA	0	0
paper	pa-	16	1	NA	NA	0	0
paper	per	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ran	ran	16	1	NA	NA	0	0
outta	out-	16	1	NA	NA	0	0
outta	ta	16	1	NA	NA	0	0
blunts	blunts	16	2	1	1	1	1
tell	tell	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
much	much	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
sound	sound	16	2	NA	NA	0	0
scan	scan	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
month	month	16	2	1	1	1	1
if	if	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
tell	tell	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
jump	jump	16	1	1	1	0	0
you	you	16	1	NA	NA	0	0
do	do	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
we	we	24	1	NA	NA	0	0
never	ne-	24	1	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
let	let	24	1	NA	NA	0	0
man	man	8	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
advantage	ad-	16	1	NA	NA	0	0
advantage	van-	16	1	NA	NA	0	0
advantage	tage	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
us	us	16	2	1	1	1	0
you	you	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	1
props	props	8	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
diamonds	dia-	16	1	NA	NA	0	0
diamonds	monds	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
rented	rent-	16	1	2	1	0	0
rented	ed	16	1	2	2	1	1
i	i	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
props	props	16	2	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rhymes	rhymes	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
invented	in-	16	1	NA	NA	0	0
invented	vent-	16	1	2	1	0	0
invented	ed	24	1	2	2	0	0
cuz	cuz	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
spoke	spoke	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mind	mind	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
meant	meant	16	1	2	1	0	0
it	it	16	3	2	2	1	1
like	like	16	1	NA	NA	0	0
tae	tae	16	1	3	1	0	0
bo	bo	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bow	bow	16	1	NA	NA	0	0
tie	tie	16	1	3	1	0	0
kicked	kicked	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ass	ass	16	2	4	1	0	0
with	with	16	1	NA	NA	0	0
class	class	16	3	4	1	0	1
and	and	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
still	still	8	1	NA	NA	0	0
take	take	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
brooklyn	brook-	16	1	NA	NA	0	0
brooklyn	lyn	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
splash	splash	8	1	4	1	1	1
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
hi	hi	16	1	NA	NA	0	0
tek	tek	8	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
blast	blast	8	1	4	1	0	1
im	im	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
last	last	8	1	4	1	1	1
i	i	16	1	NA	NA	0	0
stay	stay	8	1	NA	NA	0	0
hungry	hun-	16	1	NA	NA	0	0
hungry	gry	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
fast	fast	8	1	4	1	1	1
married	mar-	32	1	NA	NA	0	0
married	ried	32	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
movement	move-	16	1	NA	NA	0	0
movement	ment	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
betty	bet-	16	1	NA	NA	0	0
betty	ty	16	1	NA	NA	0	0
shabazz	sha-	16	1	NA	NA	0	0
shabazz	bazz	8	1	4	1	0	0
the	the	16	1	NA	NA	0	0
rhyme	rhyme	8	1	NA	NA	0	0
veteran	vet-	32	1	NA	NA	0	0
veteran	er-	32	1	NA	NA	0	0
veteran	an	16	2	NA	NA	1	1
you	you	16	1	NA	NA	0	0
actin	act-	16	1	NA	NA	0	0
actin	in	16	1	NA	NA	0	0
real	real	8	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
right	right	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	1
lesbian	les-	16	1	5	1	0	0
lesbian	bi-	16	1	5	2	0	0
lesbian	an	16	1	5	3	0	0
thespian	the-	16	1	5	1	0	0
thespian	spi-	16	1	5	2	0	0
thespian	an	16	1	5	3	1	0
since	since	32	1	NA	NA	0	0
they	they	32	1	NA	NA	0	0
let	let	16	1	5	1	0	0
me	me	16	1	5	2	0	0
in	in	16	1	5	3	0	0
the	the	16	1	NA	NA	0	0
back	back	8	1	NA	NA	1	0
ive	ive	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
droppin	drop-	16	1	6	1	0	0
droppin	pin	16	1	6	2	0	0
jewels	jew-	16	1	6	3	0	0
jewels	els	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
plugged	plugged	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
pasta	pas-	16	1	6	1	0	0
pasta	ta	16	1	6	2	0	0
news	news	16	3	6	3	1	0
stay	stay	16	1	NA	NA	0	0
fresh	fresh	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
clean	clean	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
hospitals	hos-	16	1	6	1	0	0
hospitals	pi-	16	1	6	2	0	0
hospitals	tals	16	2	6	3	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
war	war	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cris	cris	8	1	NA	NA	0	0
poppers	pop-	16	1	7	1	0	0
poppers	pers	16	1	7	2	0	0
the	the	16	1	NA	NA	0	0
wallet	wal-	16	1	NA	NA	0	0
wallet	let	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
wrist	wrist	8	1	NA	NA	0	0
watches	watch-	16	1	7	1	0	0
watches	es	8	1	7	2	1	1
you	you	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
