word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
crunch	crunch	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
natti	nat-	16	1	NA	NA	0	0
natti	ti	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
brooklyn	brook-	16	1	NA	NA	0	0
brooklyn	lyn	16	1	NA	NA	0	0
hold	hold	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	16	4	1	1	1	1
peep	peep	16	2	NA	NA	0	0
how	how	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
terrorize	ter-	16	1	NA	NA	0	0
terrorize	ror-	16	1	NA	NA	0	0
terrorize	ize	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
through	through	16	2	NA	NA	0	0
sound	sound	16	4	1	1	1	1
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
battle	bat-	16	1	NA	NA	0	0
battle	tle	16	1	NA	NA	0	0
compound	com-	16	2	NA	NA	0	0
compound	pound	16	3	1	1	0	1
its	its	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
do	do	16	4	2	1	1	1
nobody	no-	16	2	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	0
there	there	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
crew	crew	16	3	2	1	1	1
johnson	john-	16	2	NA	NA	0	0
johnson	son	16	4	NA	NA	0	1
know	know	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
talking	talk-	16	1	3	1	0	0
talking	ing	16	1	3	2	0	0
about	a-	16	1	3	3	0	0
about	bout	16	3	3	4	1	1
dante	dant-	16	2	NA	NA	0	0
dante	e	16	4	NA	NA	0	1
know	know	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
talking	talk-	16	1	3	1	0	0
talking	ing	16	1	3	2	0	0
about	a-	16	1	3	3	0	0
about	bout	16	3	3	4	1	1
main	main	16	2	NA	NA	0	0
flow	flow	16	4	NA	NA	0	1
know	know	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
talking	talk-	16	1	3	1	0	0
talking	ing	16	1	3	2	0	0
about	a-	16	1	3	3	0	0
about	bout	16	3	3	4	1	1
hi	hi	16	2	NA	NA	0	0
tek	tek	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
talking	talk-	16	1	3	1	0	0
talking	ing	16	1	3	2	0	0
about	a-	16	1	3	3	0	0
about	bout	16	3	3	4	1	1
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
battle	bat-	16	1	NA	NA	0	0
battle	tle	16	3	NA	NA	0	1
way	way	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gun	gun	16	2	NA	NA	0	0
will	will	16	1	NA	NA	0	0
bust	bust	16	2	NA	NA	0	0
with	with	16	1	4	1	0	0
you	you	16	3	4	2	1	1
play	play	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bone	bone	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
gristle	gris-	16	1	4	1	0	0
gristle	tle	16	1	4	2	0	0
im	im	16	1	NA	NA	0	0
straight	straight	16	1	NA	NA	0	0
official	of-	16	1	NA	NA	0	0
official	fi-	16	1	4	1	0	0
official	cial	16	3	4	2	1	1
federal	fed-	16	1	NA	NA	0	0
federal	e-	16	1	NA	NA	0	0
federal	ral	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
long	long	16	1	NA	NA	0	0
prison	pris-	16	1	NA	NA	0	0
prison	on	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
ohio	oh-	16	1	NA	NA	0	0
ohio	i-	16	1	NA	NA	0	0
ohio	o	16	1	NA	NA	0	0
give	give	16	1	4	1	0	0
you	you	16	3	4	2	1	1
hop	hop	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
johnson	john-	16	2	NA	NA	0	0
johnson	son	16	1	NA	NA	0	0
track	track	16	2	NA	NA	0	0
rip	rip	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
thistles	this-	16	1	4	1	0	0
thistles	tles	16	1	4	2	1	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
e	e	16	2	5	1	0	0
dub	dub	16	2	5	2	0	0
yeah	yeah	16	2	NA	NA	0	1
we	we	16	2	NA	NA	0	0
love	love	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
street	street	16	2	5	1	0	0
buzz	buzz	16	3	5	2	1	1
cats	cats	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
game	game	16	2	NA	NA	0	0
acting	act-	16	1	NA	NA	0	0
acting	ing	16	1	NA	NA	0	0
soft	soft	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
peach	peach	16	2	5	1	0	0
fuzz	fuzz	16	1	5	2	1	0
delete	de-	16	1	NA	NA	0	0
delete	lete	16	2	5	1	0	0
dubs	dubs	16	2	5	2	0	1
carry	car-	16	1	NA	NA	0	0
carry	ry	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
voice	voice	16	2	NA	NA	0	0
through	through	16	1	NA	NA	0	0
queen	queen	16	2	6	1	0	0
city	ci-	16	1	6	2	0	0
city	ty	16	1	6	3	1	0
with	with	16	2	NA	NA	0	1
stories	stor-	16	1	NA	NA	0	0
stories	ies	16	1	NA	NA	0	0
that	that	16	2	NA	NA	0	0
make	make	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
horrible	hor-	16	1	NA	NA	0	0
horrible	ri-	16	1	NA	NA	0	0
horrible	ble	16	2	NA	NA	0	0
seem	seem	16	2	6	1	0	0
pretty	pret-	16	1	6	2	0	0
pretty	ty	16	1	6	3	0	0
yeah	yeah	16	2	NA	NA	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
is	is	16	2	NA	NA	0	0
proctor	proc-	16	1	NA	NA	0	0
proctor	tor	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
gambling	gamb-	16	2	7	1	0	0
gambling	ling	16	1	7	2	0	0
with	with	16	1	7	3	0	0
they	they	16	1	7	4	0	0
life	life	16	1	7	5	1	0
i	i	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
anger	an-	16	1	NA	NA	0	0
anger	ger	16	1	NA	NA	0	0
and	and	16	2	NA	NA	0	0
handle	hand-	16	1	NA	NA	0	0
handle	le	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
channel	chan-	16	1	7	1	0	0
channel	nel	16	1	NA	NA	0	0
it	it	16	1	7	2	0	0
through	through	16	1	7	3	0	0
the	the	16	1	7	4	0	0
mic	mic	16	2	7	5	1	1
spray	spray	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
area	ar-	16	1	NA	NA	0	0
area	e-	16	1	NA	NA	0	0
area	a	16	1	NA	NA	0	0
complex	com-	16	2	NA	NA	0	0
complex	plex	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
inferior	in-	16	1	NA	NA	0	0
inferior	fer-	16	1	8	1	0	0
inferior	i-	16	1	8	2	0	0
inferior	or	16	1	8	3	0	0
one	one	16	1	8	4	0	0
that	that	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
get	get	16	2	NA	NA	1	1
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
standing	stand-	16	1	NA	NA	0	0
standing	ing	16	1	NA	NA	0	0
to	to	16	2	NA	NA	0	0
close	close	16	1	8	1	0	0
to	to	16	1	8	2	0	0
the	the	16	1	8	3	0	0
sun	sun	16	2	8	4	1	1
its	its	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
ra	ra	16	1	8	1	0	0
pum	pum	16	1	8	2	0	0
pa	pa	16	2	8	3	0	0
pum	pum	16	2	8	4	0	0
beat	beat	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
drum	drum	16	1	8	4	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	4	NA	NA	1	1
you	you	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
burned	burned	16	2	NA	NA	0	0
quick	quick	16	1	NA	NA	0	0
