word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
growing	grow-	32	1	NA	NA	0	0
growing	ing	32	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
brooklyn	brook-	16	1	NA	NA	0	0
brooklyn	lyn	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
everybody	eve-	32	1	NA	NA	0	0
everybody	ry-	32	1	NA	NA	0	0
everybody	bo-	32	1	NA	NA	0	0
everybody	dy	32	1	NA	NA	0	0
talked	talked	16	1	1	1	0	0
this	this	16	1	1	2	0	0
way	way	16	1	1	3	1	0
raised	raised	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
rakim	ra-	16	1	NA	NA	0	0
rakim	kim	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
d	d	32	1	NA	NA	0	0
m	m	32	1	NA	NA	0	0
c	c	16	1	NA	NA	0	0
so	so	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
everybody	eve-	32	1	NA	NA	0	0
everybody	ry-	32	1	NA	NA	0	0
everybody	bo-	32	1	NA	NA	0	0
everybody	dy	32	1	NA	NA	0	0
walked	walked	16	1	1	1	0	0
this	this	16	1	1	2	0	0
way	way	16	1	1	3	1	0
we	we	16	1	2	1	0	0
fresh	fresh	16	1	2	2	0	0
we	we	16	1	2	3	0	0
chill	chill	16	1	2	4	0	0
we	we	16	1	2	1	0	0
def	def	16	1	2	2	0	0
we	we	16	1	2	3	0	0
ill	ill	16	1	2	4	0	0
its	its	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
things	things	16	1	NA	NA	0	0
that	that	32	1	NA	NA	0	0
was	was	32	1	NA	NA	0	0
taught	taught	16	1	1	1	0	0
to	to	16	1	1	2	0	0
say	say	16	1	1	3	0	0
eh	eh	16	2	NA	NA	1	1
every	ev-	48	1	NA	NA	0	0
every	e-	48	1	NA	NA	0	0
every	ry	48	1	NA	NA	0	0
saturday	sa-	32	1	NA	NA	0	0
saturday	tur-	32	1	NA	NA	0	0
saturday	day	16	1	NA	NA	0	0
morning	morn-	16	1	NA	NA	0	0
morning	ing	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
watched	watched	16	1	NA	NA	0	0
cartoons	car-	16	1	NA	NA	0	0
cartoons	toons	16	1	NA	NA	0	0
with	with	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
bowl	bowl	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
frosted	frost-	16	1	1	1	0	0
frosted	ed	16	1	1	2	0	0
flakes	flakes	16	1	1	3	0	0
then	then	32	5	NA	NA	1	1
the	the	32	1	NA	NA	0	0
puberty	pu-	32	1	4	1	0	0
puberty	ber-	32	1	4	2	0	0
puberty	ty	16	1	4	3	0	0
came	came	16	1	4	4	0	0
started	star-	32	1	NA	NA	0	0
started	ted	32	1	NA	NA	0	0
hitting	hit-	32	1	NA	NA	0	0
hitting	ting	32	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
cuties	cu-	32	1	4	1	0	0
cuties	ties	32	1	4	2	0	0
with	with	16	1	4	3	0	0
game	game	16	1	4	4	0	0
and	and	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
truancy	tru-	32	1	4	1	0	0
truancy	an-	32	1	4	2	0	0
truancy	cy	16	1	4	3	0	0
came	came	16	1	4	4	0	0
uh	uh	16	2	NA	NA	1	1
started	star-	32	1	NA	NA	0	0
started	ted	32	1	NA	NA	0	0
cutting	cut-	16	1	NA	NA	0	0
cutting	ting	32	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
class	class	16	1	5	1	0	0
i	i	32	1	NA	NA	0	0
was	was	32	1	NA	NA	0	0
comin	com-	32	1	NA	NA	0	0
comin	in	32	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
fast	fast	16	1	5	1	0	0
i	i	32	1	NA	NA	0	0
was	was	32	1	NA	NA	0	0
new	new	16	1	4	1	0	0
to	to	32	1	4	2	0	0
the	the	32	1	4	3	0	0
game	game	16	1	4	4	0	0
uh	uh	16	2	NA	NA	1	1
music	mu-	32	1	NA	NA	0	0
music	sic	32	1	NA	NA	0	0
playin	play-	32	1	NA	NA	0	0
playin	in	32	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
t	t	16	1	NA	NA	0	0
v	v	16	1	NA	NA	0	0
courtesy	cour-	16	1	NA	NA	0	0
courtesy	te-	16	1	NA	NA	0	0
courtesy	sy	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
video	vi-	32	1	NA	NA	0	0
video	de-	32	1	NA	NA	0	0
video	o	16	1	NA	NA	0	0
music	mu-	16	1	5	1	0	0
music	sic	16	1	5	2	0	0
box	box	16	1	5	3	0	0
plus	plus	16	3	NA	NA	1	1
knew	knew	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
lot	lot	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
hustlas	hust-	16	1	NA	NA	0	0
hustlas	las	16	1	NA	NA	0	0
goin	go-	32	1	NA	NA	0	0
goin	in	32	1	NA	NA	0	0
o	o	16	1	NA	NA	0	0
t	t	16	1	NA	NA	0	0
comin	com-	32	1	NA	NA	0	0
comin	in	32	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
with	with	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
new	new	16	1	5	1	0	0
hip	hip	16	1	5	2	0	0
hop	hop	16	1	5	3	0	0
like	like	16	2	NA	NA	1	1
e	e	16	1	NA	NA	0	0
forty	for-	32	1	NA	NA	0	0
forty	ty	32	1	NA	NA	0	0
holding	hold-	32	1	NA	NA	0	0
holding	ing	32	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
yay	yay	16	3	6	1	0	1
n	n	16	1	NA	NA	0	0
w	dou-	32	1	NA	NA	0	0
w	ble-	32	1	NA	NA	0	0
w	ewe	16	1	NA	NA	0	0
a	a	16	1	6	1	0	0
in	in	32	1	NA	NA	0	0
l	l	32	1	NA	NA	0	0
a	a	16	3	6	1	1	1
outkast	out-	16	1	NA	NA	0	0
outkast	kast	16	1	NA	NA	0	0
from	from	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
town	town	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
down	down	32	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
houston	hous-	16	1	NA	NA	0	0
houston	ton	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
play	play	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
u	u	16	1	NA	NA	0	0
g	g	16	1	NA	NA	0	0
k	k	16	3	6	1	1	1
i	i	16	1	NA	NA	0	0
walk	walk	16	1	7	1	0	0
and	and	16	1	NA	NA	0	0
talk	talk	16	1	7	1	0	0
kinda	kind-	32	1	8	1	0	0
kinda	a	32	1	8	2	0	0
fast	fast	16	1	8	3	0	0
and	and	16	1	NA	NA	0	0
thought	thought	16	1	8	1	0	0
of	of	16	1	8	2	0	0
as	as	16	1	8	3	0	0
a	a	32	1	NA	NA	0	0
new	new	32	1	NA	NA	0	0
york	york	16	1	NA	NA	0	0
kinda	kind-	32	1	8	1	0	0
kinda	a	32	1	8	2	0	0
rhymer	rhym-	16	1	8	3	0	0
rhymer	er	16	3	NA	NA	0	0
most	most	16	1	NA	NA	0	0
new	new	16	1	NA	NA	0	0
yorkers	yor-	16	1	NA	NA	0	0
yorkers	kers	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
family	fam-	16	1	NA	NA	0	0
family	ily	16	1	NA	NA	0	0
