word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
planet	plan-	16	1	NA	NA	0	0
planet	et	16	1	NA	NA	0	0
asia	a-	16	1	NA	NA	0	0
asia	sia	16	2	NA	NA	0	1
already	al-	16	1	NA	NA	0	0
already	read-	24	1	NA	NA	0	0
already	y	24	1	NA	NA	0	0
broke	broke	24	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
science	sci-	16	1	1	1	0	0
science	ence	16	1	1	2	0	0
to	to	16	1	1	3	0	0
my	my	16	1	1	4	0	0
name	name	16	2	1	5	1	0
speak	speak	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
silent	sil-	16	1	1	1	0	0
silent	ent	16	1	1	2	0	0
and	and	16	1	1	3	0	0
the	the	16	1	1	4	0	0
tame	tame	16	2	1	5	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
violent	vi-	24	1	1	1	0	0
violent	o-	24	1	NA	NA	0	0
violent	lent	24	1	1	2	0	0
in	in	16	1	1	3	0	0
the	the	16	1	1	4	0	0
brain	brain	16	1	1	5	0	0
thats	thats	16	1	NA	NA	0	0
right	right	24	1	NA	NA	1	1
im	im	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
pilot	pi-	16	1	1	1	0	0
pilot	lot	16	1	1	2	0	0
in	in	16	1	1	3	0	0
the	the	16	1	1	4	0	0
plane	plane	16	1	1	5	0	0
im	im	16	1	NA	NA	0	0
still	still	16	2	NA	NA	0	0
sound	sound	16	2	NA	NA	0	0
bombing	bomb-	16	1	2	1	0	0
bombing	ing	16	1	2	2	0	0
shit	shit	16	4	2	3	1	1
dominant	do-	24	1	2	1	0	0
dominant	mi-	24	1	2	2	0	0
dominant	nant	24	1	2	3	0	0
when	when	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
be	be	24	1	NA	NA	0	0
flowin	flow-	16	1	3	1	0	0
flowin	in	16	1	3	2	0	0
cats	cats	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
broken	bro-	16	1	3	1	0	0
broken	ken	16	1	3	2	0	0
like	like	16	2	NA	NA	0	0
promises	pro-	16	1	2	1	0	0
promises	mi-	16	1	2	2	0	0
promises	ses	16	2	2	3	1	1
fuck	fuck	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
politics	po-	16	1	2	1	0	0
politics	li-	16	1	2	2	0	0
politics	tics	16	3	2	3	0	1
my	my	16	1	NA	NA	0	0
partnership	part-	16	1	2	1	0	0
partnership	ner-	16	1	2	2	0	0
partnership	ship	16	1	2	3	0	0
with	with	16	1	NA	NA	0	0
artists	art-	16	1	2	1	0	0
artists	ists	16	1	2	2	0	0
who	who	16	2	2	3	1	1
put	put	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
heart	heart	16	1	2	1	0	0
in	in	16	1	2	2	0	0
it	it	16	1	2	3	0	0
thats	thats	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
crew	crew	16	2	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hardest	hard-	16	1	2	1	0	0
hardest	est	16	1	2	2	0	0
shit	shit	16	2	2	3	1	1
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
art	art	16	1	2	1	0	0
of	of	16	1	2	2	0	0
it	it	16	1	2	3	0	0
we	we	16	1	NA	NA	0	0
start	start	16	1	2	1	0	0
the	the	16	1	2	2	0	0
shit	shit	16	1	2	3	0	0
and	and	16	1	NA	NA	0	0
get	get	16	1	4	1	0	0
it	it	16	1	4	2	0	0
hype	hype	16	3	4	3	1	1
cuz	cuz	16	1	NA	NA	0	0
hearing	hear-	16	1	NA	NA	0	0
hearing	ing	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
here	here	24	1	NA	NA	0	0
rock	rock	24	1	NA	NA	0	0
together	to-	24	1	5	1	0	0
together	geth-	16	1	5	2	0	0
together	er	16	1	5	3	0	0
yo	yo	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
like	like	16	2	NA	NA	1	0
mixing	mix-	16	1	NA	NA	0	0
mixing	ing	16	1	NA	NA	0	0
northern	north-	20	1	4	1	0	0
northern	ern	20	1	4	2	0	0
lights	lights	20	1	4	3	0	0
from	from	20	1	NA	NA	0	0
the	the	20	1	NA	NA	0	0
bay	bay	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
yard	yard	16	2	NA	NA	0	0
weed	weed	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
jamaica	ja-	16	1	5	1	0	0
jamaica	mai-	16	1	5	2	0	0
jamaica	ca	16	2	5	3	1	1
or	or	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
best	best	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
knicks	knicks	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
best	best	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	5	1	0	0
lakers	la-	16	1	5	2	0	0
lakers	kers	16	1	5	3	1	1
we	we	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
creators	cre-	24	1	5	1	0	0
creators	a-	16	1	5	2	0	0
creators	tors	16	1	5	3	0	0
never	ne-	24	1	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
