word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
we	we	16	1	NA	NA	0	0
sell	sell	16	2	NA	NA	0	1
crack	crack	16	2	1	1	0	0
to	to	16	1	1	2	0	0
our	our	16	1	1	3	0	0
own	own	16	2	1	4	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	1	1	1	0	0
of	of	16	1	1	2	0	0
our	our	16	1	1	3	0	0
homes	homes	16	2	1	4	1	0
we	we	16	1	NA	NA	0	0
smell	smell	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
musk	musk	16	2	2	1	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dusk	dusk	16	2	2	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crack	crack	16	1	1	1	0	0
of	of	16	1	1	2	0	0
the	the	16	1	1	3	0	0
dawn	dawn	16	2	1	4	1	0
we	we	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
episodes	e-	16	1	NA	NA	0	0
episodes	pi-	16	1	NA	NA	0	0
episodes	sodes	16	2	NA	NA	0	0
too	too	16	2	NA	NA	0	1
like	like	16	1	NA	NA	0	0
attack	at-	16	1	NA	NA	0	0
attack	tack	16	1	1	1	0	0
of	of	16	1	1	2	0	0
the	the	16	1	1	3	0	0
clones	clones	16	2	1	4	1	0
work	work	16	1	NA	NA	0	0
til	til	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
break	break	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crack	crack	16	1	1	1	0	0
of	of	16	1	1	2	0	0
the	the	16	1	1	3	0	0
bone	bone	16	2	1	4	1	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	3	2	2	0	1
just	just	16	2	2	3	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	3	2	2	1	1
just	just	16	2	2	3	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	3	2	2	0	1
just	just	16	2	2	3	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	2	2	2	1	1
we	we	16	1	2	3	0	0
commute	com-	16	1	3	1	0	0
commute	mute	16	1	3	2	0	0
to	to	16	1	3	3	0	0
computers	com-	16	1	3	1	0	0
computers	put-	16	1	3	2	0	0
computers	ers	16	1	3	3	0	0
spirits	spi-	16	1	NA	NA	0	0
spirits	rits	16	1	NA	NA	0	0
stay	stay	16	1	3	1	0	0
mute	mute	16	2	3	2	0	0
while	while	16	1	3	3	0	0
you	you	16	1	NA	NA	0	0
egos	e-	16	1	NA	NA	0	0
egos	gos	16	1	NA	NA	0	0
spread	spread	16	1	3	1	0	0
rumors	ru-	16	1	3	2	0	0
rumors	mors	16	2	3	3	1	1
we	we	16	1	NA	NA	0	0
survivalists	sur-	16	1	NA	NA	0	0
survivalists	vi-	16	1	NA	NA	0	0
survivalists	val-	16	1	NA	NA	0	0
survivalists	ists	16	2	NA	NA	0	0
turned	turned	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
consumers	con-	16	1	3	1	0	0
consumers	su-	16	1	3	2	0	0
consumers	mers	16	3	3	3	1	1
just	just	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	3	2	2	0	1
just	just	16	2	2	3	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	3	2	2	1	1
just	just	16	2	2	3	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	3	2	2	0	1
just	just	16	2	2	3	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	2	1	0	0
by	by	16	2	2	2	1	1
ask	ask	16	1	2	3	0	0
him	him	16	1	NA	NA	0	0
why	why	16	2	NA	NA	0	0
some	some	16	2	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
live	live	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
trailer	trail-	16	1	4	1	0	0
trailer	er	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sailor	sail-	24	1	4	1	0	0
sailor	or	24	1	NA	NA	1	0
i	i	24	1	NA	NA	0	0
paint	paint	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
picture	pic-	16	1	NA	NA	0	0
picture	ture	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pen	pen	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
norman	nor-	16	1	NA	NA	0	0
norman	man	16	1	NA	NA	0	0
mailer	mail-	16	1	4	1	0	0
mailer	er	16	1	NA	NA	1	0
mi	mi	16	1	NA	NA	0	0
abuela	a-	16	1	NA	NA	0	0
abuela	bue-	16	1	4	1	0	0
abuela	la	16	1	NA	NA	0	0
raised	raised	16	2	NA	NA	0	0
three	three	16	2	NA	NA	0	0
daughters	daugh-	16	1	NA	NA	0	0
daughters	ters	16	1	NA	NA	0	0
all	all	16	1	5	1	0	0
by	by	16	1	5	2	0	0
herself	her-	16	1	5	3	0	0
herself	self	16	2	5	4	0	1
with	with	16	1	NA	NA	0	0
no	no	16	2	5	1	0	0
help	help	16	1	5	2	1	0
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
struggle	strug-	16	1	NA	NA	0	0
struggle	gle	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
find	find	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
strength	strength	16	1	5	1	0	0
in	in	16	1	5	2	0	0
myself	my-	16	1	5	3	0	0
myself	self	16	2	5	4	1	1
these	these	16	1	NA	NA	0	0
words	words	16	2	NA	NA	0	1
melt	melt	16	1	5	1	0	0
in	in	16	1	5	2	0	0
my	my	16	1	5	3	0	0
mouth	mouth	16	2	5	4	0	0
they	they	16	1	NA	NA	0	0
hot	hot	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
jail	jail	16	2	NA	NA	0	0
cell	cell	16	1	NA	5	0	0
in	in	16	1	NA	5	0	0
the	the	16	1	NA	5	0	0
south	south	16	2	NA	5	1	1
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
core	core	16	2	NA	NA	0	0
bailed	bailed	16	2	NA	5	0	0
me	me	16	1	NA	5	0	0
out	out	16	2	NA	5	1	1
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	2	0	0
by	by	16	3	NA	2	0	1
just	just	16	2	NA	2	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	2	0	0
by	by	16	3	NA	2	1	1
just	just	16	2	NA	2	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	2	0	0
by	by	16	3	NA	2	0	1
just	just	16	2	NA	2	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	2	0	0
by	by	16	2	NA	2	1	1
we	we	16	1	NA	2	0	0
do	do	16	1	NA	NA	0	0
or	or	16	1	NA	2	0	0
die	die	16	1	NA	2	0	0
like	like	16	1	NA	NA	0	0
bed	bed	16	2	NA	2	0	0
sty	sty	16	2	NA	2	0	0
see	see	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
red	red	16	1	NA	2	0	0
sky	sky	16	1	NA	2	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
window	wind-	16	1	NA	NA	0	0
window	ow	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
red	red	16	1	NA	2	0	0
eye	eye	16	1	NA	2	1	0
let	let	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lead	lead	16	1	NA	2	0	0
fly	fly	16	2	NA	2	0	0
some	some	16	1	NA	NA	0	0
g	g	16	1	NA	NA	0	0
rap	rap	16	2	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
let	let	16	2	NA	2	0	0
die	die	16	3	NA	2	1	1
