word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
clear	clear	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
exactly	ex-	16	1	NA	NA	0	0
exactly	act-	16	1	NA	NA	0	0
exactly	ly	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
sayin	say-	16	1	1	1	0	0
sayin	in	16	2	1	2	1	1
for	for	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
attention	at-	16	1	NA	NA	0	0
attention	ten-	16	1	NA	NA	0	0
attention	tion	16	1	NA	NA	0	0
span	span	16	1	2	1	0	0
i	i	16	1	NA	NA	0	0
understand	un-	16	1	NA	NA	0	0
understand	der-	16	1	NA	NA	0	0
understand	stand	16	1	2	1	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
playin	play-	16	1	1	1	0	0
playin	in	16	2	1	2	1	1
you	you	16	1	NA	NA	0	0
mistaken	mis-	16	1	NA	NA	0	0
mistaken	ta-	16	1	1	1	0	0
mistaken	ken	24	1	1	2	0	0
if	if	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
somehow	some-	16	1	NA	NA	0	0
somehow	how	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
facin	fa-	16	1	1	1	0	0
facin	cin	16	3	1	2	1	1
starin	star-	24	1	NA	NA	0	0
starin	in	24	1	NA	NA	0	0
me	me	24	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
while	while	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
enemy	e-	24	1	NA	NA	0	0
enemy	ne-	24	1	NA	NA	0	0
enemy	my	24	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
standin	stand-	16	1	NA	NA	0	0
standin	in	16	1	NA	NA	0	0
adjacent	ad-	16	1	NA	NA	0	0
adjacent	ja-	16	1	1	1	0	0
adjacent	cent	16	2	1	2	1	1
my	my	16	1	NA	NA	0	0
heart	heart	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
racin	ra-	16	1	1	1	0	0
racin	cin	16	1	1	2	0	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stand	stand	16	2	3	1	0	0
for	for	16	1	3	2	1	0
we	we	16	1	1	1	0	0
chasin	cha-	16	1	1	2	0	0
chasin	sin	16	1	NA	NA	0	0
death	death	16	2	NA	NA	0	0
carelessly	care-	16	1	NA	NA	0	0
carelessly	less-	16	1	NA	NA	0	0
carelessly	ly	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
jessica	jes-	16	1	NA	NA	0	0
jessica	si-	16	1	NA	NA	0	0
jessica	ca	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
care	care	16	2	3	1	0	0
more	more	16	2	3	2	1	0
who	who	16	1	NA	NA	0	0
