word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
freedoms	free-	16	1	NA	NA	0	0
freedoms	doms	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
road	road	16	2	NA	NA	0	0
thats	thats	16	1	NA	NA	0	0
seldom	sel-	16	1	NA	NA	0	0
seldom	dom	16	1	NA	NA	0	0
traveled	tra-	16	1	1	1	0	0
traveled	veled	16	3	1	2	0	1
watch	watch	16	1	NA	NA	0	0
hell	hell	16	1	NA	NA	0	0
unravel	un-	16	1	NA	NA	0	0
unravel	ra-	16	1	1	1	0	0
unravel	vel	16	1	1	2	1	1
right	right	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
eyes	eyes	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
soldier	sol-	16	1	NA	NA	0	0
soldier	dier	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
fell	fell	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
battle	bat-	16	1	1	1	0	0
battle	tle	16	3	1	2	1	1
single	sin-	16	1	NA	NA	0	0
single	gle	16	1	NA	NA	0	0
mother	mo-	16	1	2	1	0	0
mother	ther	16	1	2	2	0	0
who	who	16	1	NA	NA	0	0
raised	raised	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
daughter	daugh-	16	1	2	1	0	0
daughter	ter	16	1	2	2	0	0
to	to	16	1	NA	NA	0	0
bear	bear	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sacreds	sac-	16	1	NA	NA	0	0
sacreds	reds	16	1	NA	NA	0	0
water	wa-	16	1	2	1	0	0
water	ter	16	1	2	2	1	0
and	and	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hand	hand	16	1	3	1	0	0
of	of	16	1	NA	NA	0	0
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
man	man	16	1	3	1	0	0
who	who	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
offer	of-	16	1	2	1	0	0
offer	fer	16	1	2	2	1	0
to	to	16	1	NA	NA	0	0
black	black	16	2	NA	NA	0	0
kids	kids	16	1	NA	NA	0	0
wishin	wi-	16	1	NA	NA	0	0
wishin	shin	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
white	white	16	2	4	1	0	0
kids	kids	16	3	4	2	1	1
when	when	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
close	close	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
eyelids	eye-	16	1	4	1	0	0
eyelids	lids	16	1	4	2	0	0
like	like	16	1	NA	NA	0	1
i	i	16	1	NA	NA	0	0
bet	bet	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
neighborhood	neigh-	16	1	NA	NA	0	0
neighborhood	bor-	16	1	NA	NA	0	0
