word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
your	your	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
like	like	16	1	1	1	0	0
a	a	16	1	1	2	0	0
flick	flick	16	3	1	3	0	1
it	it	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
surprisin	sur-	16	1	NA	NA	0	0
surprisin	pri-	16	1	1	1	0	0
surprisin	sin	16	1	1	2	0	0
twists	twists	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
write	write	16	1	1	1	0	0
the	the	16	1	1	2	0	0
script	script	16	1	1	3	0	0
the	the	16	1	NA	NA	0	0
main	main	16	2	NA	NA	0	0
character	cha-	16	1	NA	NA	0	0
character	rac-	16	1	NA	NA	0	0
character	ter	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
thighs	thighs	16	1	1	1	0	0
and	and	16	1	1	2	0	0
hips	hips	16	3	1	3	1	1
award	a-	16	1	2	1	0	0
award	ward	16	1	2	2	0	0
for	for	16	1	NA	NA	0	0
best	best	16	1	NA	NA	0	0
supportin	sup-	16	1	2	1	0	0
supportin	por-	16	1	2	2	0	0
supportin	tin	16	1	NA	NA	0	0
role	role	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
eyes	eyes	16	1	1	1	0	0
and	and	16	1	1	2	0	0
lip	lip	16	1	1	3	1	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
move	move	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
stiff	stiff	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hieroglyph	hie-	16	1	1	1	0	0
hieroglyph	ro-	16	1	1	2	0	0
hieroglyph	glyph	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
watched	watched	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dance	dance	16	1	NA	NA	0	0
across	a-	16	1	NA	NA	0	0
across	cross	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
floor	floor	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
title	ti-	16	1	3	1	0	0
title	tle	16	1	3	2	0	0
track	track	16	3	3	3	1	1
you	you	16	1	NA	NA	0	0
bout	bout	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wall	wall	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
michael	mi-	16	1	3	1	0	0
michael	chael	16	1	3	2	0	0
jack	jack	16	3	3	3	1	1
i	i	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
describing	des-	16	1	NA	NA	0	0
describing	cri-	16	1	5	1	0	0
describing	bing	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
beauty	beaut-	16	1	4	1	0	0
beauty	y	16	1	4	2	0	0
my	my	16	1	NA	NA	0	0
sacred	sac-	16	1	NA	NA	0	0
sacred	red	16	1	NA	NA	0	0
duty	du-	16	1	4	1	0	0
duty	ty	16	1	4	2	1	0
i	i	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
write	write	16	1	5	1	0	0
a	a	16	1	NA	NA	0	0
song	song	16	2	NA	NA	0	0
write	write	16	1	5	1	0	0
a	a	16	1	NA	NA	0	0
book	book	16	2	NA	NA	0	0
write	write	16	1	5	1	0	0
a	a	16	1	NA	NA	0	0
play	play	16	2	NA	NA	0	0
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
movie	mov-	16	1	4	1	0	0
movie	ie	16	1	4	2	1	1
