word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
things	things	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
seein	see-	16	1	NA	NA	0	0
seein	in	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
news	news	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
insane	in-	16	2	NA	NA	0	0
insane	sane	16	1	1	1	1	0
a	a	16	1	NA	NA	0	0
stock	stock	16	2	NA	NA	0	0
broker	bro-	16	1	NA	NA	0	0
broker	ker	16	1	NA	NA	0	0
shoot	shoot	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
kid	kid	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
himself	him-	16	1	NA	NA	0	0
himself	self	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
front	front	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
train	train	16	1	1	1	1	0
a	a	16	1	NA	NA	0	0
mother	mo-	16	1	NA	NA	0	0
mother	ther	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
home	home	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
weeks	weeks	16	2	NA	NA	0	1
all	all	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
himself	him-	16	1	NA	NA	0	0
himself	self	16	2	2	1	1	0
two	two	16	1	NA	NA	0	0
years	years	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
eatin	ea-	16	1	NA	NA	0	0
eatin	tin	16	1	NA	NA	0	0
ketchup	ketch-	16	1	NA	NA	0	0
ketchup	up	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
mustard	mus-	16	1	NA	NA	0	0
mustard	tard	16	1	NA	NA	0	0
cryin	cry-	16	1	NA	NA	0	0
cryin	in	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
help	help	16	2	2	1	1	1
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
bring	bring	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
struggle	strug-	16	1	NA	NA	0	0
struggle	gle	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
life	life	16	2	3	1	0	1
the	the	16	1	NA	NA	0	0
label	la-	16	1	NA	NA	0	0
label	bel	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
song	song	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bubbly	bub-	16	1	NA	NA	0	0
bubbly	bl-	16	1	NA	NA	0	0
bubbly	y	16	1	NA	NA	0	0
life	life	16	2	3	1	1	0
i	i	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
trouble	troub-	16	1	NA	NA	0	0
trouble	le	16	1	NA	NA	0	0
tryin	tryin	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
write	write	16	1	3	1	0	0
some	some	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
bang	bang	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
club	club	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
night	night	16	2	3	1	1	1
when	when	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
suffer	suf-	16	1	NA	NA	0	0
suffer	fer	16	1	NA	NA	0	0
tonight	to-	16	1	NA	NA	0	0
tonight	night	16	2	3	1	0	1
lord	lord	16	2	NA	NA	0	0
knows	knows	16	2	NA	NA	0	0
i	i	16	2	NA	NA	0	0
try	try	16	1	NA	NA	1	1
