word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
friends	friends	16	4	NA	NA	0	0
romans	ro-	16	1	NA	NA	0	0
romans	mans	16	3	NA	NA	0	0
countrymen	coun-	16	1	NA	NA	0	0
countrymen	try-	16	1	NA	NA	0	0
countrymen	men	16	2	NA	NA	0	1
lend	lend	16	1	1	1	0	0
me	me	16	1	1	2	0	0
ya	ya	16	1	1	3	0	0
ears	ears	16	2	1	4	1	0
stop	stop	16	2	NA	NA	0	0
repentin	re-	16	1	NA	NA	0	0
repentin	pen-	16	1	1	1	0	0
repentin	tin	16	1	1	2	0	0
cause	cause	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ending	end-	16	1	1	1	0	0
ending	ing	16	1	1	2	0	0
is	is	16	1	1	3	0	0
near	near	16	2	1	4	1	0
but	but	16	1	NA	NA	0	0
dont	dont	16	2	NA	NA	0	1
panic	pa-	16	1	NA	NA	0	0
panic	nic	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
cant	cant	16	1	NA	NA	0	0
function	func-	16	1	NA	NA	0	0
function	tion	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
livin	liv-	16	1	1	1	0	0
livin	in	16	1	1	2	0	0
in	in	16	1	1	3	0	0
fear	fear	16	3	1	4	1	1
pay	pay	16	1	NA	NA	0	0
attention	at-	16	1	NA	NA	0	0
attention	ten-	24	1	NA	NA	0	0
attention	tion	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
listen	list-	16	1	1	1	0	0
listen	en	16	1	1	2	0	0
to	to	16	1	1	3	0	0
hear	hear	16	2	1	4	1	1
cmon	c-	16	1	NA	NA	0	0
cmon	mon	16	8	NA	NA	0	1
who	who	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
talkin	talk-	16	2	2	1	0	0
talkin	in	16	1	2	2	0	0
to	to	16	2	2	3	1	1
put	put	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
hold	hold	16	2	NA	NA	0	0
get	get	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
specialist	spe-	16	1	NA	NA	0	0
specialist	cial-	16	1	NA	NA	0	0
specialist	ist	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
walk	walk	16	2	2	1	0	0
you	you	16	1	2	2	0	0
through	through	16	3	2	3	1	1
kweli	kwe-	16	1	NA	NA	0	0
kweli	li	16	2	NA	NA	0	1
the	the	16	1	NA	NA	0	0
flow	flow	16	2	3	1	0	0
captain	cap-	16	1	3	2	0	0
captain	tain	16	1	3	3	0	0
of	of	16	1	NA	NA	0	0
fast	fast	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
slow	slow	16	2	3	1	0	0
rappin	rap-	16	1	3	2	0	0
rappin	pin	16	1	3	3	1	0
im	im	16	1	NA	NA	0	0
so	so	16	2	3	1	0	0
crackin	cra-	16	1	3	2	0	0
crackin	ckin	16	1	3	3	0	0
you	you	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
heard	heard	16	2	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
appear	ap-	16	1	NA	NA	0	0
appear	pear	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
closed	closed	16	2	3	1	0	0
captions	cap-	16	1	3	2	0	0
captions	tions	16	2	3	3	1	1
king	king	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bars	bars	16	2	4	1	0	0
and	and	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
goin	go-	16	1	NA	NA	0	0
goin	in	16	1	NA	NA	0	0
hard	hard	16	2	NA	NA	0	0
pause	pause	16	4	4	1	1	1
all	all	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
confidence	con-	16	1	NA	NA	0	0
confidence	fi-	16	1	NA	NA	0	0
confidence	dence	16	2	NA	NA	0	0
comes	comes	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
knowin	know-	16	1	NA	NA	0	0
knowin	in	16	1	NA	NA	0	0
gods	gods	16	2	NA	NA	0	0
laws	laws	16	4	4	1	1	1
bangin	bang-	16	1	NA	NA	0	0
bangin	in	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
system	sys-	16	1	5	1	0	0
system	tem	16	3	5	2	0	1
fightin	fight-	16	1	NA	NA	0	0
fightin	in	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
kinda	kind-	16	1	NA	NA	0	0
kinda	a	16	1	NA	NA	0	0
war	war	16	2	4	1	0	1
loud	loud	16	2	NA	NA	1	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
whisper	whis-	16	1	5	1	0	0
whisper	per	16	3	5	2	0	1
quiet	qui-	16	1	NA	NA	0	0
quiet	et	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lions	li-	16	1	NA	NA	0	0
lions	ons	16	1	NA	NA	0	0
roar	roar	16	2	4	1	0	1
