word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
concrete	con-	16	2	NA	NA	0	0
concrete	crete	16	1	NA	NA	0	0
jungle	jun-	16	1	NA	NA	0	0
jungle	gle	16	2	NA	NA	0	0
wild	wild	16	2	NA	NA	0	0
animal	a-	16	1	1	1	0	0
animal	ni-	16	1	1	2	0	0
animal	mal	16	4	1	3	1	1
stomach	sto-	16	1	NA	NA	0	0
stomach	mach	16	1	NA	NA	0	0
growling	growl-	16	1	NA	NA	0	0
growling	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
lions	li-	16	1	NA	NA	0	0
lions	ons	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
understandable	un-	16	1	NA	NA	0	0
understandable	der-	16	1	NA	NA	0	0
understandable	stand-	16	1	1	1	0	0
understandable	a-	16	1	1	2	0	0
understandable	ble	16	3	1	3	1	1
rappers	rap-	16	1	NA	NA	0	0
rappers	pers	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
right	right	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
battle	bat-	16	1	2	1	0	0
battle	tle	16	1	2	2	0	0
you	you	16	4	2	3	1	1
quicker	qui-	16	1	NA	NA	0	0
quicker	cker	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
cheetah	chee-	16	1	NA	NA	0	0
cheetah	tah	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
caribou	ca-	16	1	2	1	0	0
caribou	ri-	16	1	2	2	0	0
caribou	bou	16	3	2	3	1	1
what	what	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
tuna	tu-	16	1	NA	NA	0	0
tuna	na	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blacksmith	black-	16	2	3	1	0	0
blacksmith	smith	16	2	3	2	0	0
is	is	16	1	NA	NA	0	0
