word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
fell	fell	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
love	love	16	2	NA	NA	0	0
once	once	16	2	1	1	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
girl	girl	16	2	NA	NA	0	0
who	who	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
blunts	blunts	16	2	1	1	1	0
and	and	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
fronts	fronts	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
rise	rise	16	1	NA	NA	0	0
above	a-	16	1	NA	NA	0	0
above	bove	16	2	NA	NA	0	0
lust	lust	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
fell	fell	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	0
chick	chick	16	2	2	1	1	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
so	so	16	2	NA	NA	0	0
thick	thick	16	2	2	1	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
hard	hard	16	2	NA	NA	0	0
not	not	16	7	NA	NA	1	1
i	i	16	1	NA	NA	0	0
fell	fell	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
love	love	16	2	NA	NA	0	0
just	just	16	2	NA	NA	0	0
one	one	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
after	af-	16	1	3	1	0	0
after	ter	16	1	3	2	0	0
that	that	16	2	3	3	1	0
shorty	shor-	16	1	NA	NA	0	0
shorty	ty	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
ready	read-	24	1	NA	NA	0	0
ready	y	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
settle	set-	16	1	NA	NA	0	0
settle	tle	16	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
habitat	ha-	16	1	3	1	0	0
habitat	bi-	16	1	3	2	0	0
habitat	tat	16	1	3	3	1	0
the	the	16	1	NA	NA	0	0
sad	sad	16	2	3	1	0	0
fact	fact	16	2	3	3	0	0
is	is	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wasnt	was-	16	1	NA	NA	0	0
wasnt	nt	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	2	NA	NA	0	1
give	give	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
freedom	free-	16	1	4	1	0	0
freedom	dom	16	1	4	2	1	0
and	and	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
pretending	pre-	16	1	NA	NA	0	0
pretending	tend-	16	1	NA	NA	0	0
pretending	ing	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
dont	dont	16	2	NA	NA	0	0
need	need	16	1	4	1	0	0
em	em	16	2	4	2	1	1
so	so	16	1	NA	NA	0	0
here	here	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
sit	sit	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bar	bar	16	2	5	1	0	0
amongst	a-	16	1	NA	NA	0	0
amongst	mongst	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
star	star	16	2	5	1	0	0
gazers	ga-	16	1	NA	NA	0	0
gazers	zers	16	1	NA	NA	1	0
caught	caught	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crosshairs	cross-	16	2	NA	NA	0	0
crosshairs	hairs	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
target	tar-	16	1	5	1	0	0
target	get	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
heart	heart	16	2	5	1	0	0
breaker	brea-	16	1	NA	NA	0	0
breaker	ker	16	2	NA	NA	1	1
the	the	16	1	NA	NA	0	0
radio	rad-	16	1	NA	NA	0	0
radio	i-	16	1	NA	NA	0	0
radio	o	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
playing	play-	16	1	NA	NA	0	0
playing	ing	16	1	NA	NA	0	0
neither	nei-	16	1	NA	NA	0	0
neither	ther	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
us	us	16	2	NA	NA	0	0
by	by	16	1	NA	NA	0	0
gladys	gla-	16	1	NA	NA	0	0
gladys	dys	16	1	NA	NA	1	0
its	its	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
ironic	i-	16	1	NA	NA	0	0
ironic	ron-	16	1	NA	NA	0	0
ironic	ic	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
chuckled	chuck-	16	1	NA	NA	0	0
chuckled	led	16	8	NA	NA	1	1
i	i	16	1	NA	NA	0	0
reminisce	re-	16	1	NA	NA	0	0
reminisce	mi-	16	1	NA	NA	0	0
reminisce	nisce	16	2	NA	NA	0	0
on	on	16	2	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chicks	chicks	24	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
ran	ran	16	2	6	1	0	0
thru	thru	16	2	6	2	1	0
now	now	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
dealing	deal-	16	1	NA	NA	0	0
dealing	ing	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
black	black	16	2	NA	NA	0	0
magic	ma-	16	1	NA	NA	0	0
magic	gic	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	0
man	man	16	2	6	1	0	0
who	who	16	2	6	2	1	0
stringing	string-	16	1	NA	NA	0	0
stringing	ing	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
along	a-	16	1	NA	NA	0	0
along	long	16	2	7	1	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
guitar	gui-	16	1	NA	NA	0	0
guitar	tar	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
song	song	16	1	7	1	0	0
im	im	16	1	NA	NA	0	0
rapping	rap-	16	1	NA	NA	0	0
rapping	ping	16	1	NA	NA	0	0
on	on	16	2	7	1	1	0
i	i	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
math	math	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
libra	li-	16	1	NA	NA	0	0
libra	bra	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
capricorn	ca-	16	1	NA	NA	0	0
capricorn	pri-	16	1	NA	NA	0	0
capricorn	corn	16	2	7	1	1	1
