word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
low	low	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
sweet	sweet	16	2	NA	NA	0	0
chariot	char-	16	1	1	1	0	0
chariot	i-	16	1	1	2	0	0
chariot	ot	16	2	1	3	1	1
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
say	say	16	2	NA	NA	0	0
make	make	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
voice	voice	16	2	NA	NA	0	0
deep	deep	16	2	NA	NA	0	0
as	as	16	1	NA	NA	0	0
barrys	bar-	16	1	1	1	0	0
barrys	rys	16	1	1	2	0	0
get	get	16	3	1	3	1	1
carry	car-	16	1	1	1	0	0
carry	ry	16	1	1	2	0	0
it	it	16	2	1	3	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
torch	torch	16	4	2	1	1	1
give	give	16	2	NA	NA	0	0
birth	birth	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
rhymes	rhymes	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
meet	meet	16	2	4	1	0	0
beats	beats	16	2	4	1	0	0
then	then	16	1	NA	NA	0	0
ill	ill	16	1	NA	NA	0	0
marry	mar-	16	1	NA	NA	0	0
marry	ry	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
off	off	16	2	2	1	1	1
have	have	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
divorce	di-	16	1	NA	NA	0	0
divorce	vorce	16	2	2	1	0	0
if	if	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
track	track	16	1	3	1	0	0
is	is	16	1	NA	NA	0	0
wack	wack	16	2	3	1	0	0
please	please	16	1	NA	NA	1	1
my	my	16	1	NA	NA	0	0
rhymes	rhymes	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
rolling	rol-	16	1	NA	NA	0	0
rolling	ling	16	1	NA	NA	0	0
stone	stone	16	4	5	1	0	1
home	home	16	1	5	1	0	0
is	is	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
high	high	16	2	NA	NA	0	0
hatters	hat-	16	1	NA	NA	0	0
hatters	ters	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
song	song	16	4	5	1	1	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
itll	it-	16	1	NA	NA	0	0
itll	ll	16	1	NA	NA	0	0
settle	set-	16	1	6	1	0	0
settle	tle	16	1	6	2	0	0
down	down	16	3	6	3	1	1
it	it	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
good	good	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
better	bet-	16	1	6	1	0	0
better	ter	16	1	6	2	0	0
now	now	16	3	6	3	0	1
come	come	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
let	let	16	1	6	1	0	0
it	it	16	1	6	2	0	0
now	now	16	2	6	3	1	1
