word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
more	more	16	2	1	1	0	0
franchising	franch-	16	2	3	1	0	0
franchising	i-	16	1	3	2	0	0
franchising	sing	16	1	3	3	0	0
less	less	16	2	2	1	0	0
sanitizing	san-	16	1	3	1	0	0
sanitizing	i-	16	1	NA	NA	0	0
sanitizing	ti-	16	1	3	2	0	0
sanitizing	zing	16	1	3	3	0	0
more	more	16	2	1	1	0	0
uprising	up-	16	2	3	1	0	0
uprising	ri-	16	1	3	2	0	0
uprising	sing	16	1	3	3	1	0
less	less	16	2	2	1	0	0
downsizing	down-	16	2	3	1	0	0
downsizing	siz-	16	1	3	2	0	0
downsizing	in	16	1	3	3	0	0
more	more	16	2	1	1	0	0
enterprising	ent-	16	1	3	1	0	0
enterprising	er-	16	1	NA	NA	0	0
enterprising	pri-	16	1	3	2	0	0
enterprising	sing	16	1	3	3	1	0
less	less	16	2	2	1	0	0
sympathizing	sym-	16	1	3	1	0	0
sympathizing	pa-	16	1	NA	NA	0	0
sympathizing	thi-	16	1	3	2	0	0
sympathizing	zing	16	1	3	3	0	0
more	more	16	2	1	1	0	0
building	build-	16	1	NA	NA	0	0
building	ing	16	1	NA	NA	0	0
less	less	16	1	2	1	0	0
destroying	des-	16	1	4	1	0	0
destroying	troy-	16	1	4	2	0	0
destroying	ing	16	1	4	3	0	0
more	more	16	2	1	1	0	0
jobs	jobs	16	2	NA	NA	1	0
less	less	16	2	2	1	0	0
unemployment	un-	16	1	NA	NA	0	0
unemployment	em-	16	1	4	1	0	0
unemployment	ploy-	16	1	4	2	0	0
unemployment	ment	16	1	4	3	0	0
lets	lets	16	2	NA	NA	0	1
give	give	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
devil	de-	16	1	NA	NA	0	0
devil	vil	16	1	NA	NA	0	0
less	less	16	1	2	1	0	0
enjoyment	en-	16	1	4	1	0	0
enjoyment	joy-	16	1	4	2	0	0
enjoyment	ment	16	1	4	3	1	0
more	more	16	1	1	1	0	0
originality	o-	16	1	NA	NA	0	0
originality	rig-	16	1	NA	NA	0	0
originality	i-	16	1	NA	NA	0	0
originality	nal-	16	1	5	1	0	0
originality	i-	16	1	5	2	0	0
originality	ty	16	2	5	3	0	1
less	less	16	2	2	1	0	0
biting	bit-	16	1	NA	NA	0	0
biting	ing	16	1	NA	NA	0	0
off	off	16	2	NA	NA	0	0
pac	pac	16	1	5	1	0	0
and	and	16	1	5	2	0	0
big	big	16	2	5	3	1	0
more	more	16	1	1	1	0	0
community	com-	16	1	NA	NA	0	0
community	mu-	24	1	NA	NA	0	0
community	ni-	24	1	NA	NA	0	0
community	ty	24	1	NA	NA	0	0
activism	act-	16	1	NA	NA	0	0
activism	i-	16	1	NA	NA	0	0
activism	vi-	16	1	NA	NA	0	0
activism	sm	16	1	NA	NA	0	0
less	less	16	2	2	1	0	0
pigs	pigs	16	2	5	3	1	0
more	more	16	2	1	1	0	0
blacksmith	black-	16	2	NA	NA	0	0
blacksmith	smith	16	1	NA	NA	0	0
and	and	16	3	NA	NA	0	1
def	def	16	2	6	1	0	0
jux	jux	16	2	6	2	0	0
less	less	16	2	2	1	0	0
geffen	gef-	16	1	NA	NA	0	0
geffen	fen	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rest	rest	16	2	6	1	1	1
cause	cause	16	1	6	2	0	0
the	the	16	1	NA	NA	0	0
rest	rest	16	2	6	1	0	0
suck	suck	16	1	6	2	0	0
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
messed	messed	16	2	6	1	0	0
up	up	16	2	6	2	1	1
more	more	16	2	1	1	0	0
marijuana	ma-	16	1	NA	NA	0	0
marijuana	ri-	16	1	NA	NA	0	0
marijuana	jua-	16	1	NA	NA	0	0
marijuana	na	16	1	NA	NA	0	0
less	less	16	2	2	1	0	0
coke	coke	16	2	7	1	0	0
more	more	16	1	1	1	0	0
accountability	ac-	16	1	NA	NA	0	0
accountability	count-	16	1	NA	NA	0	0
accountability	a-	16	1	NA	NA	0	0
accountability	bi-	16	1	NA	NA	0	0
accountability	li-	16	1	NA	NA	0	0
accountability	ty	16	1	NA	NA	1	0
from	from	16	1	NA	NA	0	0
politician	po-	16	1	NA	NA	0	0
politician	li-	16	1	NA	NA	0	0
politician	ti-	16	1	NA	NA	0	0
politician	cian	16	1	NA	NA	0	0
before	be-	16	2	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
shouting	shou-	16	1	NA	NA	0	0
shouting	ting	16	1	NA	NA	0	0
lets	lets	16	2	2	1	0	0
vote	vote	16	2	7	1	1	1
more	more	16	2	1	1	0	0
schools	schools	16	2	NA	NA	0	0
less	less	16	2	2	1	0	0
prisons	pri-	16	1	8	1	0	0
prisons	sons	16	1	8	2	0	0
more	more	16	2	1	1	0	0
free	free	16	2	NA	NA	0	0
styles	styles	16	2	NA	NA	0	0
less	less	16	2	2	1	0	0
written	writ-	16	1	8	1	0	0
written	ten	16	2	8	2	1	1
more	more	16	1	1	1	0	0
serious	se-	16	1	NA	NA	0	0
serious	ri-	16	1	NA	NA	0	0
serious	ous	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
less	less	16	2	2	1	0	0
kidding	kid-	16	1	8	1	0	0
kidding	ding	16	3	8	2	1	1
more	more	16	2	1	1	0	0
history	his-	16	1	9	1	0	0
history	to-	16	1	9	2	0	0
history	ry	16	2	9	3	0	0
less	less	16	2	2	1	0	0
mystery	mys-	16	1	9	1	0	0
mystery	ter-	16	1	9	2	0	0
mystery	y	16	2	9	3	0	0
more	more	16	1	1	1	0	0
beyonce	be-	16	1	NA	NA	0	0
beyonce	yonc-	16	2	NA	NA	0	0
beyonce	e	16	2	NA	NA	1	0
less	less	16	2	2	1	0	0
britney	bri-	16	1	9	1	0	0
britney	t-	16	1	9	2	0	0
britney	ney	16	2	9	3	0	1
more	more	16	2	1	1	0	0
happiness	hap-	16	1	NA	NA	0	0
happiness	pi-	16	1	NA	NA	0	0
happiness	ness	16	2	NA	NA	0	0
less	less	16	2	2	1	0	0
misery	mi-	16	1	9	1	0	0
misery	se-	16	1	9	2	0	0
misery	ry	16	2	9	3	1	0
more	more	16	2	1	1	0	0
victory	vict-	16	1	9	1	0	0
victory	or-	16	1	9	2	0	0
victory	y	16	2	9	3	0	0
less	less	16	2	2	1	0	0
loses	lo-	16	1	10	1	0	0
loses	ses	16	3	10	2	0	1
more	more	16	2	1	1	0	0
workers	wor-	16	1	NA	NA	0	0
workers	kers	16	2	NA	NA	1	1
we	we	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
bosses	bos-	16	1	10	1	0	0
bosses	ses	16	2	10	2	0	1
of	of	16	1	NA	NA	0	0
course	course	16	2	10	1	0	0
its	its	16	1	10	2	0	0
reflection	ref-	16	1	NA	NA	0	0
reflection	lect-	16	1	NA	NA	0	0
reflection	ion	16	3	NA	NA	1	1
