word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
kid	kid	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
home	home	16	2	1	1	0	0
base	base	16	4	1	2	1	1
or	or	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
marathon	ma-	16	1	NA	NA	0	0
marathon	ra-	16	1	NA	NA	0	0
marathon	thon	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
set	set	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
own	own	16	2	1	1	0	0
pace	pace	16	3	1	2	1	1
your	your	16	1	NA	NA	0	0
own	own	16	2	1	1	0	0
space	space	16	2	1	2	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
beautiful	beau-	16	1	2	1	0	0
beautiful	ti-	16	1	2	2	0	0
beautiful	ful	16	1	2	3	0	0
struggle	strug-	16	1	2	4	0	0
struggle	gle	16	1	2	5	1	0
now	now	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
gon	gon	16	2	NA	NA	0	0
take	take	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
prove	prove	16	1	2	1	0	0
that	that	16	1	2	2	0	0
i	i	16	1	2	3	0	0
love	love	16	1	2	4	0	0
you	you	16	2	2	5	1	1
when	when	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
gone	gone	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
missing	mis-	16	1	3	1	0	0
missing	sing	16	1	3	2	0	0
me	me	16	1	3	3	0	0
too	too	16	2	3	4	0	1
it	it	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
know	know	16	2	NA	NA	1	0
that	that	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
prayers	prayers	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
god	god	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
listening	lis-	16	1	3	1	0	0
listening	ten-	16	1	3	2	0	0
listening	ing	16	1	3	3	0	0
to	to	16	2	3	4	1	1
dont	dont	16	1	NA	NA	0	0
get	get	16	1	3	1	0	0
it	it	16	1	3	2	0	0
confused	con-	16	1	3	3	0	0
confused	fused	16	2	3	4	0	1
aint	aint	16	1	NA	NA	0	0
trying	try-	16	1	NA	NA	0	0
trying	ing	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
religious	re-	16	1	NA	NA	0	0
religious	li-	16	1	3	1	0	0
religious	gious	16	1	3	2	0	0
with	with	16	1	3	3	0	0
you	you	16	2	3	4	1	1
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
miracle	mi-	16	1	3	1	0	0
miracle	ra-	16	1	3	2	0	0
miracle	cle	16	1	3	3	0	0
you	you	16	11	3	4	1	1
stole	stole	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
heart	heart	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
crook	crook	16	1	4	1	0	0
in	in	16	1	4	2	0	0
love	love	16	3	4	3	1	1
crossing	cros-	16	1	NA	NA	0	0
crossing	sing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bridge	bridge	16	2	NA	NA	0	0
