word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
action	act-	16	1	NA	NA	0	0
action	ion	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
whats	whats	16	1	NA	NA	0	0
expected	ex-	16	1	NA	NA	0	0
expected	pec-	16	1	NA	NA	0	0
expected	ted	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
spoken	spok-	16	1	1	1	0	0
spoken	en	16	1	1	2	0	0
on	on	16	1	1	3	1	0
producer	pro-	16	1	2	1	0	0
producer	du-	16	1	2	2	0	0
producer	cer	16	1	2	3	0	0
never	ne-	24	1	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
got	got	24	1	NA	NA	0	0
time	time	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
excuses	ex-	16	1	2	1	0	0
excuses	cu-	24	1	2	2	0	0
excuses	ses	24	1	2	3	0	0
you	you	24	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
go	go	16	1	1	1	0	0
beyond	be-	16	1	1	2	0	0
beyond	yond	16	1	1	3	1	0
my	my	16	1	NA	NA	0	0
flow	flow	16	1	1	1	0	0
is	is	16	1	1	2	0	0
tom	tom	16	2	1	3	0	0
foolery	fool-	16	1	3	1	0	0
foolery	er-	16	1	3	2	0	0
foolery	y	16	1	3	3	0	1
i	i	16	1	NA	NA	0	0
smoke	smoke	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
pork	pork	16	2	NA	NA	0	0
rappers	rap-	16	1	4	1	0	0
rappers	pers	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
fast	fast	16	2	4	1	0	0
they	they	16	1	NA	NA	0	0
call	call	24	1	NA	NA	0	0
me	me	24	1	NA	NA	0	0
charcuterie	char-	24	1	NA	NA	0	0
charcuterie	cu-	16	1	3	1	0	0
charcuterie	te-	16	1	3	2	0	0
charcuterie	rie	16	1	3	3	1	1
i	i	16	1	NA	NA	0	0
beautifully	beau-	16	1	3	1	0	0
beautifully	tif-	16	1	3	2	0	0
beautifully	ully	16	1	3	3	0	0
exude	e-	16	1	3	1	0	0
exude	xude	16	1	3	2	0	0
the	the	16	1	3	3	0	0
vibe	vibe	16	1	NA	NA	0	0
thats	thats	16	1	NA	NA	0	0
free	free	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
ambiguity	am-	16	1	NA	NA	0	0
ambiguity	bi-	16	1	NA	NA	0	0
ambiguity	gu-	16	1	3	1	0	0
ambiguity	i-	16	1	3	2	0	0
ambiguity	ty	16	1	3	3	1	1
ya	ya	16	1	NA	NA	0	0
goonery	goo-	16	1	3	1	0	0
goonery	ne-	16	1	3	2	0	0
goonery	ry	24	1	3	3	0	0
for	for	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
sake	sake	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
goonery	goo-	16	1	3	1	0	0
goonery	ne-	16	1	3	2	0	0
goonery	ry	16	1	3	3	0	0
is	is	16	1	NA	NA	0	0
cartoons	car-	16	2	NA	NA	0	0
cartoons	toons	16	1	3	1	0	0
to	to	16	1	3	2	0	0
me	me	16	1	3	3	1	0
its	its	16	1	NA	NA	0	0
coonery	coo-	16	1	3	1	0	0
coonery	ne-	16	1	3	2	0	0
coonery	ry	16	1	3	3	0	0
its	its	16	1	NA	NA	0	0
lunacy	lu-	16	1	3	1	0	0
lunacy	na-	16	1	3	2	0	0
lunacy	cy	16	1	3	3	0	0
