word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	5	NA	NA	0	1
live	live	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
stereo	ster-	16	1	1	1	0	0
stereo	e-	16	1	1	2	0	0
stereo	o	16	1	1	3	0	0
your	your	16	1	NA	NA	0	0
hero	he-	16	1	1	1	0	0
hero	ro	16	1	1	2	0	0
get	get	16	1	1	3	0	0
dinero	di-	16	1	NA	NA	0	0
dinero	ne-	16	1	1	1	0	0
dinero	ro	16	1	1	2	0	0
though	though	16	1	1	3	1	1
i	i	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
name	name	16	1	2	1	0	0
em	em	16	1	NA	NA	0	0
name	name	16	1	2	1	0	0
a	a	16	1	NA	NA	0	0
country	coun-	16	1	NA	NA	0	0
country	try	16	1	NA	NA	0	0
after	af-	16	1	NA	NA	0	0
after	ter	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
amerigo	a-	16	1	NA	NA	0	0
amerigo	mer-	16	1	1	1	0	0
amerigo	i-	16	1	1	2	0	0
amerigo	go	16	1	1	3	0	0
vespucci	ves-	16	1	NA	NA	0	0
vespucci	puc-	16	1	3	1	0	0
vespucci	ci	16	1	3	2	1	0
we	we	16	1	NA	NA	0	0
authentic	auth-	16	1	NA	NA	0	0
authentic	en-	16	1	NA	NA	0	0
authentic	tic	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gucci	guc-	16	1	3	1	0	0
gucci	ci	16	1	3	2	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
serial	se-	16	1	4	1	0	0
serial	ri-	16	1	4	2	0	0
serial	al	16	1	4	3	0	0
number	num-	16	1	4	4	0	0
number	ber	16	1	4	5	1	0
these	these	16	1	NA	NA	0	0
rappers	rap-	16	1	NA	NA	0	0
rappers	pers	16	1	NA	NA	0	0
fruity	fruit-	16	1	3	1	0	0
fruity	y	16	1	3	2	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pebbles	peb-	16	1	NA	NA	0	0
pebbles	bles	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
cereal	ce-	24	1	4	1	0	0
cereal	re-	24	1	4	2	0	0
cereal	al	24	1	4	3	1	0
wonder	won-	16	1	4	4	0	0
wonder	der	16	1	4	5	0	0
why	why	4	1	NA	NA	0	1
some	some	16	1	5	1	0	0
will	will	16	1	5	2	0	0
die	die	16	1	5	3	0	0
by	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
code	code	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
samurai	sa-	16	1	5	1	0	0
samurai	mu-	16	1	5	2	0	0
samurai	rai	16	1	5	3	1	1
if	if	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
nine	nine	16	1	NA	NA	0	0
eleven	e-	16	1	NA	NA	0	0
eleven	le-	16	1	NA	NA	0	0
eleven	ven	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fireman	fire-	16	2	NA	NA	0	0
fireman	man	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
ran	ran	16	1	5	1	0	0
inside	in-	16	1	5	2	0	0
inside	side	16	2	5	3	1	1
dreams	dreams	16	2	NA	NA	0	0
put	put	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
hold	hold	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	1
operators	o-	16	1	NA	NA	0	0
operators	per-	16	1	NA	NA	0	0
operators	a-	16	1	NA	NA	0	0
operators	tors	16	1	NA	NA	0	0
standin	stand-	16	1	5	1	0	0
standin	in	16	1	5	2	0	0
