word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
ghetto	ghet-	16	1	1	1	0	0
ghetto	to	16	3	1	2	1	1
like	like	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
pray	pray	24	1	NA	NA	0	0
over	o-	24	1	NA	NA	0	0
over	ver	24	1	NA	NA	0	0
beef	beef	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
khalil	kha-	16	1	NA	NA	0	0
khalil	lil	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
metal	me-	16	1	1	1	0	0
metal	tal	16	1	1	2	0	0
til	til	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
settled	sett-	16	1	1	1	0	0
settled	led	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
pull	pull	16	2	NA	NA	0	0
strings	strings	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
geppetto	gep-	16	1	NA	NA	0	0
geppetto	pet-	16	1	1	1	0	0
geppetto	to	16	1	1	2	0	0
did	did	16	1	NA	NA	0	0
pinocchio	pi-	16	1	NA	NA	0	0
pinocchio	noc-	16	1	2	1	0	0
pinocchio	chi-	16	1	NA	NA	0	0
pinocchio	o	16	1	2	2	1	1
yall	yall	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
sing	sing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
po	po	16	2	2	1	0	0
po	po	16	1	2	2	0	0
like	like	16	2	NA	NA	0	1
k	k	16	1	NA	NA	0	0
