word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
we	we	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
fallin	fal-	16	1	NA	NA	0	0
fallin	lin	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
trick	trick	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
image	i-	16	1	1	1	0	0
image	mage	16	1	1	2	0	0
is	is	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gimmick	gim-	16	1	1	1	0	0
gimmick	mick	16	2	1	2	1	1
forget	for-	16	1	NA	NA	0	0
forget	get	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
every	eve-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
rhyme	rhyme	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
bitten	bit-	16	1	1	1	0	0
bitten	ten	16	1	1	2	0	0
you	you	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
mimic	mi-	16	1	1	1	0	0
mimic	mic	16	2	1	2	1	1
im	im	16	1	NA	NA	0	0
talkin	talk-	16	1	NA	NA	0	0
talkin	in	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lord	lord	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
askin	ask-	16	1	NA	NA	0	0
askin	in	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
forgiveness	for-	16	1	NA	NA	0	0
forgiveness	give-	16	1	1	1	0	0
forgiveness	ness	16	1	1	2	1	0
just	just	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
kickin	kick-	16	1	1	1	0	0
kickin	in	16	1	1	2	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
club	club	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
michael	mi-	16	1	NA	NA	0	0
michael	chael	16	1	NA	NA	0	0
richards	rich-	16	1	1	1	0	0
richards	ards	16	3	1	2	1	1
yeah	yeah	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
admit	ad-	16	1	1	1	0	0
admit	mit	16	1	1	2	0	0
it	it	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
guilty	guil-	16	1	2	1	0	0
guilty	ty	16	1	2	2	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
filthy	fil-	16	1	2	1	0	0
filthy	thy	16	1	2	2	1	0
i	i	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
gritty	grit-	16	1	2	1	0	0
gritty	ty	16	1	2	2	0	0
so	so	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
feel	feel	16	1	2	1	0	0
me	me	16	1	2	2	1	0
the	the	16	1	NA	NA	0	0
flow	flow	16	3	NA	NA	0	1
is	is	16	1	NA	NA	0	0
known	known	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
touchin	touch-	16	1	3	1	0	0
touchin	in	16	1	3	2	0	0
the	the	16	1	NA	NA	0	0
soul	soul	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
street	street	16	2	NA	NA	0	0
hustlers	hust-	16	1	3	1	0	0
hustlers	lers	16	2	3	2	1	1
i	i	16	1	NA	NA	0	0
speak	speak	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
language	lan-	16	1	NA	NA	0	0
language	guage	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
customers	cus-	32	1	3	1	0	0
customers	to-	32	1	NA	NA	0	0
customers	mers	16	2	3	2	1	1
the	the	16	1	NA	NA	0	0
writin	wri-	16	1	NA	NA	0	0
writin	tin	16	1	NA	NA	0	0
therapeutic	the-	16	1	NA	NA	0	0
therapeutic	ra-	16	1	NA	NA	0	0
therapeutic	peu-	16	1	4	1	0	0
therapeutic	tic	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
due	due	16	1	4	1	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pain	pain	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
sufferin	suf-	24	1	3	1	0	0
sufferin	fer-	24	1	NA	NA	0	0
sufferin	in	24	1	3	2	1	0
while	while	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
dudes	dudes	16	1	4	1	0	0
get	get	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
confused	con-	16	1	NA	NA	0	0
confused	fused	16	1	4	1	0	0
and	and	16	1	NA	NA	0	0
abuse	a-	16	1	NA	NA	0	0
abuse	buse	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
creative	cre-	16	1	NA	NA	0	0
creative	a-	16	1	NA	NA	0	0
creative	tive	16	1	NA	NA	0	0
substance	sub-	16	1	3	1	0	0
substance	stance	16	2	3	2	1	1
im	im	16	1	NA	NA	0	0
givin	giv-	16	1	NA	NA	0	0
givin	in	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
contact	con-	16	2	NA	NA	0	0
contact	tact	16	1	NA	NA	0	0
high	high	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name	name	16	2	NA	NA	0	0
buzzin	buz-	16	1	5	1	0	0
buzzin	zin	16	1	5	2	1	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
came	came	16	2	6	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
game	game	16	2	6	1	0	0
with	with	16	1	NA	NA	0	0
nothin	no-	16	1	5	1	0	0
nothin	thin	16	2	5	2	0	1
stop	stop	16	2	NA	NA	0	0
frontin	fron-	16	1	5	1	0	0
frontin	tin	16	1	5	2	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	1	0
talk	talk	16	2	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
now	now	16	4	NA	NA	1	1
