word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
you	you	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
comfy	com-	16	1	NA	NA	0	0
comfy	fy	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
paid	paid	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
car	car	16	1	NA	NA	0	0
note	note	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
rent	rent	16	1	1	1	1	1
look	look	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
broke	broke	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	2	NA	NA	0	0
more	more	16	1	NA	NA	0	0
hustle	hust-	16	1	NA	NA	0	0
hustle	le	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
larry	lar-	16	1	NA	NA	0	0
larry	ry	16	1	NA	NA	0	0
flynt	flynt	16	2	1	1	1	1
diggin	dig-	24	1	NA	NA	0	0
diggin	gin	24	1	NA	NA	0	0
up	up	24	1	NA	NA	0	0
dirt	dirt	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
politicians	po-	16	1	NA	NA	0	0
politicians	li-	16	1	NA	NA	0	0
politicians	ti-	16	1	2	1	0	0
politicians	cians	16	1	2	2	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
pot	pot	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
piss	piss	16	1	2	1	0	0
in	in	16	2	2	2	1	1
sellin	sel-	32	1	NA	NA	0	0
sellin	lin	32	1	NA	NA	0	0
watches	watch-	16	1	NA	NA	0	0
watches	es	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
commission	com-	16	1	NA	NA	0	0
commission	mis-	16	1	2	1	0	0
commission	sion	16	1	2	2	0	0
with	with	16	1	NA	NA	0	0
fake	fake	16	1	NA	NA	0	0
rocks	rocks	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
dont	dont	16	2	NA	NA	0	0
glistin	gli-	16	1	2	1	0	0
glistin	stin	16	2	2	2	1	1
holdin	hold-	32	1	NA	NA	0	0
holdin	in	32	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
block	block	16	1	NA	NA	0	0
position	pos-	16	1	NA	NA	0	0
position	i-	16	1	2	1	0	0
position	tion	16	1	2	2	0	0
been	been	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lot	lot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
options	op-	16	1	NA	NA	0	0
options	tions	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
stop	stop	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bitchin	bitch-	16	1	2	1	0	0
bitchin	in	16	2	2	2	0	1
you	you	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
makin	mak-	24	1	NA	NA	0	0
makin	in	24	1	NA	NA	0	0
no	no	24	1	NA	NA	0	0
hot	hot	16	1	NA	NA	0	0
decisions	de-	16	1	NA	NA	0	0
decisions	ci-	16	1	2	1	0	0
decisions	sions	16	1	2	2	1	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blood	blood	16	1	3	1	0	0
clot	clot	16	3	3	2	0	1
look	look	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
many	ma-	16	1	NA	NA	0	0
many	ny	16	1	NA	NA	0	0
gold	gold	16	1	NA	NA	0	0
diggers	dig-	16	1	NA	NA	0	0
diggers	gers	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
clubs	clubs	16	1	3	1	0	0
got	got	16	2	3	2	1	1
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
up	up	24	1	NA	NA	0	0
on	on	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
hustle	hust-	16	1	NA	NA	0	0
