word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	4	1	NA	NA	0	1
fly	fly	8	1	1	1	0	0
in	in	16	1	1	2	0	0
it	it	16	3	1	3	1	1
blue	blue	16	1	NA	NA	0	0
skies	skies	16	2	1	1	0	0
the	the	16	1	NA	NA	0	0
limit	lim-	16	1	1	2	0	0
limit	it	16	1	1	3	0	0
the	the	16	1	NA	NA	0	0
skies	skies	16	2	1	1	0	0
infinite	in-	16	1	NA	NA	0	0
infinite	fin-	16	1	1	2	0	0
infinite	ite	16	3	1	3	1	1
it	it	16	1	NA	NA	0	0
reflect	re-	16	1	NA	NA	0	0
reflect	flect	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
eyes	eyes	16	1	1	1	0	0
of	of	16	1	NA	NA	0	0
those	those	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
try	try	16	1	1	1	0	0
to	to	16	1	NA	NA	0	0
send	send	16	2	NA	NA	0	0
spies	spies	16	2	1	1	0	0
in	in	16	1	1	2	0	0
it	it	16	2	1	3	1	1
capture	cap-	16	1	NA	NA	0	0
capture	ture	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sun	sun	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
could	could	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
blind	blind	16	2	1	1	0	0
by	by	16	1	1	2	0	0
it	it	16	2	1	3	1	1
look	look	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sky	sky	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
africas	af-	16	1	NA	NA	0	0
africas	ri-	16	1	NA	NA	0	0
africas	cas	16	1	NA	NA	0	0
eyes	eyes	16	2	1	1	0	0
in	in	16	1	1	2	0	0
it	it	16	2	1	3	1	1
the	the	16	1	NA	NA	0	0
land	land	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
dry	dry	16	2	1	1	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cry	cry	16	1	1	1	0	0
infinite	in-	16	1	NA	NA	0	0
infinite	fin-	16	1	1	2	0	0
infinite	ite	16	2	1	3	1	1
the	the	16	1	NA	NA	0	0
tear	tear	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
shed	shed	16	2	NA	NA	0	0
grow	grow	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
fruit	fruit	16	2	NA	NA	0	0
til	til	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
eye	eye	16	2	1	1	0	0
replenish	re-	16	1	NA	NA	0	0
replenish	ple-	16	1	1	2	0	0
replenish	nish	16	1	1	3	1	1
the	the	16	1	NA	NA	0	0
industry	in-	16	1	NA	NA	0	0
industry	dus-	16	1	NA	NA	0	0
industry	try	16	2	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
