word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
we	we	16	1	1	1	0	0
were	were	16	1	NA	NA	0	0
both	both	16	2	NA	NA	0	0
young	young	16	3	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
first	first	16	2	NA	NA	0	0
saw	saw	16	2	2	1	0	0
you	you	16	2	2	2	1	1
i	i	16	1	NA	NA	0	0
close	close	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
eyes	eyes	16	3	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flashback	flash-	16	1	NA	NA	0	0
flashback	back	16	2	NA	NA	0	0
starts	starts	16	2	2	1	1	0
i'm	i'm	16	1	2	2	0	0
standing	stand-	16	1	NA	NA	0	0
standing	ing	16	1	NA	NA	0	0
there	there	16	10	3	1	1	1
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
balcony	bal-	16	1	NA	NA	0	0
balcony	co-	16	1	NA	NA	0	0
balcony	ny	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
summer	sum-	16	1	NA	NA	0	0
summer	mer	16	1	NA	NA	0	0
air	air	16	14	3	1	1	1
see	see	16	1	1	1	0	0
the	the	16	2	NA	NA	0	0
lights	lights	16	3	NA	NA	0	0
see	see	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ball	ball	16	2	2	1	0	0
gowns	gowns	16	3	2	2	1	1
see	see	16	1	NA	NA	0	0
you	you	16	2	NA	NA	0	0
make	make	16	2	NA	NA	0	0
your	your	16	1	NA	NA	0	0
way	way	16	2	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	2	NA	NA	0	0
crowd	crowd	16	2	2	1	1	0
and	and	16	1	2	2	0	0
say	say	16	1	NA	NA	0	0
hello	hel-	16	1	NA	NA	0	0
hello	lo	16	12	4	1	1	1
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
i	i	16	3	NA	NA	0	0
know	know	16	3	4	1	1	1
