word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
profligate	pro-	16	1	NA	NA	0	0
profligate	fli-	16	1	NA	NA	0	0
profligate	gate	16	1	NA	NA	0	0
and	and	32	1	NA	NA	0	0
i'm	i'm	32	1	NA	NA	0	0
boss	boss	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
shit	shit	8	1	NA	NA	0	1
put	put	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
quick	quick	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
coffin	cof-	16	1	NA	NA	0	0
coffin	fin	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
this	this	16	1	NA	NA	1	0
awesome	awe-	16	1	NA	NA	0	0
awesome	some	16	1	NA	NA	0	0
script	script	16	1	NA	NA	0	0
then	then	32	1	NA	NA	0	0
i'm	i'm	32	1	NA	NA	0	0
rocking	rock-	16	1	NA	NA	0	0
rocking	ing	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	1
when	when	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
pop	pop	12	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
take	take	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
pic	pic	24	1	NA	NA	1	1
and	and	24	1	NA	NA	0	0
never	ne-	24	1	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
know	know	24	1	NA	NA	0	0
when	when	24	1	NA	NA	0	0
i'm	i'm	24	1	NA	NA	0	0
odd	odd	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
exist	e-	16	1	NA	NA	0	0
exist	xist	8	1	NA	NA	0	1
ants	ants	16	1	NA	NA	0	0
in	in	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
pants	pants	24	1	NA	NA	0	0
i'll	i'll	24	1	NA	NA	0	0
make	make	24	1	NA	NA	0	0
ya	ya	24	1	NA	NA	0	0
dance	dance	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
hip	hip	24	1	NA	NA	0	0
hop	hop	16	1	NA	NA	0	0
chemist	che-	16	1	NA	NA	0	0
chemist	mist	16	1	NA	NA	1	0
i'm	i'm	16	1	NA	NA	0	0
rockin'	rock-	16	1	NA	NA	0	0
rockin'	in'	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
bitch	bitch	8	1	NA	NA	0	1
and	and	32	1	NA	NA	0	0
ya	ya	32	1	NA	NA	0	0
niggas	nig-	24	1	NA	NA	0	0
niggas	gas	24	1	NA	NA	0	0
is	is	24	1	NA	NA	0	0
far	far	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
it	it	8	1	NA	NA	1	1
mister	mist-	16	1	NA	NA	0	0
mister	er	32	1	NA	NA	0	0
mojo	mo-	32	3	NA	NA	0	0
mojo	jo	16	1	NA	NA	0	0
rising	ri-	16	1	NA	NA	0	0
rising	sing	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
flip	flip	16	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
flow	flow	16	1	NA	NA	0	0
and	and	32	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
rhyming	rhym-	16	1	NA	NA	0	0
rhyming	ing	16	1	NA	NA	1	0
so	so	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
went	went	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
dough	dough	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
timing	tim-	16	1	NA	NA	0	0
timing	ing	16	1	NA	NA	0	0
everybody	eve-	32	1	NA	NA	0	0
everybody	ry-	32	1	NA	NA	0	0
everybody	bo-	32	1	NA	NA	0	0
everybody	dy	32	1	NA	NA	0	0
gets	gets	16	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
bro	bro	16	1	NA	NA	0	0
they	they	32	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
nine	nine	16	1	NA	NA	0	0
ing	ing	16	1	NA	NA	1	1
