word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it's	it's	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hotwire	hot-	8	1	1	1	0	0
hotwire	wi-	16	1	1	2	0	0
hotwire	re	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
together	to-	16	1	2	1	0	0
together	geth-	16	1	2	2	0	0
together	er	16	2	2	3	1	1
when	when	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sparks	sparks	8	1	1	1	0	0
fly	fly	8	1	1	2	0	0
well	we'll	16	1	NA	NA	0	0
ignite	ig-	16	1	NA	NA	0	0
ignite	nite	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
future	fut-	16	1	NA	NA	0	0
future	ure	16	1	NA	NA	0	0
forever	for-	16	1	2	1	0	0
forever	e-	16	1	2	2	0	0
forever	ver	16	1	2	3	1	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
last	last	8	1	NA	NA	0	0
kiss	kiss	8	1	NA	NA	0	0
martin	mar-	16	1	NA	NA	0	0
martin	tin	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
gave	gave	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
coretta	co-	16	1	2	1	0	0
coretta	ret-	16	1	2	2	0	0
coretta	ta	16	1	2	3	1	1
it's	it's	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
paparazzi	pa-	16	1	NA	NA	0	0
paparazzi	pa-	16	1	NA	NA	0	0
paparazzi	raz-	16	1	NA	NA	0	0
paparazzi	zi	16	1	NA	NA	0	0
picture	pic-	16	1	NA	NA	0	0
picture	ture	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
flash	flash	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
beretta	be-	16	1	2	1	0	0
beretta	ret-	16	1	2	2	0	0
beretta	ta	16	1	2	3	1	1
i	i	16	1	NA	NA	0	0
got	got	8	1	NA	NA	0	0
scars	scars	8	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
back	back	16	3	NA	NA	0	1
the	the	16	1	NA	NA	0	0
truth	truth	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
tongue	tongue	8	1	3	1	1	1
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
hand	hand	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
alarm	a-	16	1	NA	NA	0	0
alarm	larm	16	1	NA	NA	0	0
got	got	8	1	NA	NA	0	0
rung	rung	8	1	3	1	1	1
we	we	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	3	NA	NA	0	1
breathe	breathe	16	2	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
freedom	free-	16	1	NA	NA	0	0
freedom	dom	8	1	NA	NA	0	1
from	from	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
lungs	lungs	8	1	3	1	1	1
tell	tell	16	1	NA	NA	0	0
homeland	home-	8	1	NA	NA	0	0
homeland	land	8	1	NA	NA	0	0
security	se-	16	1	NA	NA	0	0
security	cur-	16	1	NA	NA	0	0
security	i-	16	1	NA	NA	0	0
security	ty	16	1	NA	NA	0	0
we	we	8	1	NA	NA	0	0
are	are	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bomb	bomb	16	1	3	1	1	1
