word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
lost	lost	16	2	NA	NA	0	0
generation	ge-	16	1	NA	NA	0	0
generation	ne-	16	1	NA	NA	0	0
generation	ra-	16	1	1	1	0	0
generation	tion	16	3	1	2	0	1
fast	fast	16	2	NA	NA	0	0
paced	paced	16	2	NA	NA	0	0
nation	na-	16	1	1	1	0	0
nation	tion	16	3	1	2	1	1
world	world	16	2	NA	NA	0	0
population	po-	16	1	NA	NA	0	0
population	pu-	16	1	NA	NA	0	0
population	la-	16	1	1	1	0	0
population	tion	16	1	1	2	0	0
confront	con-	16	1	NA	NA	0	0
confront	front	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
frustration	frus-	16	2	NA	NA	0	0
frustration	tra-	16	1	1	1	0	0
frustration	tion	16	2	1	2	1	1
the	the	16	1	NA	NA	0	0
principles	prin-	16	1	NA	NA	0	0
principles	ci-	16	1	NA	NA	0	0
principles	ples	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
true	true	16	1	NA	NA	0	0
hip	hip	16	2	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
have	have	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
forsaken	for-	16	1	NA	NA	0	0
forsaken	sa-	16	1	1	1	0	0
forsaken	ken	16	1	1	2	1	0
it's	it's	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
contractual	con-	16	1	NA	NA	0	0
contractual	trac-	16	2	NA	NA	0	0
contractual	tu-	16	1	NA	NA	0	0
contractual	al	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	2	NA	NA	0	0
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
making	mak-	16	1	1	1	0	0
making	in	16	2	1	2	1	1
pretend	pre-	16	1	NA	NA	0	0
pretend	tend	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
cats	cats	16	2	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
seem	seem	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
limitation	li-	16	1	NA	NA	0	0
limitation	mi-	16	1	NA	NA	0	0
limitation	ta-	16	1	1	1	0	0
limitation	tion	16	2	1	2	1	1
exact	e-	16	1	NA	NA	0	0
exact	xact	16	2	NA	NA	0	0
replication	rep-	16	1	NA	NA	0	0
replication	li-	16	1	NA	NA	0	0
replication	ca-	16	1	1	1	0	0
replication	tion	16	1	1	2	0	0
and	and	16	1	NA	NA	0	0
false	false	16	2	NA	NA	0	0
representation	re-	16	1	NA	NA	0	0
representation	pre-	16	1	NA	NA	0	0
representation	sen-	16	1	NA	NA	0	0
representation	ta-	16	1	1	1	0	0
representation	tion	16	2	1	2	1	1
you	you	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
then	then	16	1	NA	NA	0	0
stand	stand	16	2	NA	NA	0	0
your	your	16	1	NA	NA	0	0
own	own	16	3	2	1	1	1
to	to	16	1	NA	NA	0	0
emcee	em-	16	1	NA	NA	0	0
emcee	cee	16	2	NA	NA	0	0
requires	re-	16	1	NA	NA	0	0
requires	qui-	16	1	NA	NA	0	0
requires	res	16	1	NA	NA	0	0
skills	skills	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
demand	de-	16	1	NA	NA	0	0
demand	mand	16	1	NA	NA	0	0
some	some	16	2	NA	NA	0	0
shown	shown	16	2	2	1	1	1
i	i	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
frauds	frauds	16	2	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
fronting	front-	16	1	NA	NA	0	0
fronting	in'	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
roam	roam	16	2	2	1	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
cellular	cel-	16	1	NA	NA	0	0
cellular	lu-	16	1	NA	NA	0	0
cellular	lar	16	1	NA	NA	0	0
phone	phone	16	2	2	1	1	0
far	far	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
home	home	16	2	2	1	0	1
giving	giv-	16	1	NA	NA	0	0
giving	in'	16	1	NA	NA	0	0
crowds	crowds	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
wanting	want-	16	1	3	1	0	0
wanting	in'	16	2	3	2	1	1
offical	of-	16	1	NA	NA	0	0
offical	fi-	16	1	NA	NA	0	0
offical	cal	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
consumption	con-	16	1	NA	NA	0	0
consumption	sump-	16	1	3	1	0	0
consumption	tion	16	2	3	2	0	1
the	the	16	1	NA	NA	0	0
fifth	fifth	16	2	NA	NA	0	0
thumping	thump-	16	1	3	1	0	0
thumping	in'	16	2	3	2	1	1
keeping	keep-	16	1	NA	NA	0	0
keeping	in'	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
jumping	jump-	16	1	3	1	0	0
jumping	in	16	1	3	2	0	0
with	with	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
original	o-	16	1	NA	NA	0	0
original	rig-	16	1	NA	NA	0	0
original	i-	16	1	NA	NA	0	0
original	nal	16	1	NA	NA	0	0
something	some-	16	1	3	1	0	0
something	thin	16	2	3	2	1	1
yo	yo	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
dedicate	de-	16	1	NA	NA	0	0
dedicate	di-	16	1	NA	NA	0	0
dedicate	cate	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
dimensional	dim-	16	1	NA	NA	0	0
dimensional	en-	16	1	NA	NA	0	0
dimensional	sion-	16	1	NA	NA	0	0
dimensional	al	16	2	NA	NA	1	0
no	no	16	1	NA	NA	0	0
imagination	i-	16	1	NA	NA	0	0
imagination	ma-	16	1	NA	NA	0	0
imagination	gin-	16	1	NA	NA	0	0
imagination	a-	16	1	1	1	0	0
imagination	tion	16	2	1	2	0	1
excuse	ex-	16	2	NA	NA	0	0
excuse	cuse	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
perpetration	per-	16	1	NA	NA	0	0
perpetration	pe-	16	1	NA	NA	0	0
perpetration	tra-	16	1	1	1	0	0
perpetration	tion	16	2	1	2	1	1
my	my	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
came	came	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
