word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
brand	brand	16	1	NA	NA	0	0
new	new	16	2	NA	NA	0	0
treat	treat	16	2	1	1	1	1
on	on	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
well	well	16	2	NA	NA	0	0
known	known	16	2	NA	NA	0	0
tune	tune	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
call	call	16	2	NA	NA	0	0
heartbeat	heart-	16	2	NA	NA	0	0
heartbeat	beat	16	3	1	1	1	1
but	but	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
jazzed	jazzed	16	2	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	3	NA	NA	0	0
and	and	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
broke	broke	16	2	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	16	2	2	1	1	0
and	and	16	1	NA	NA	0	0
came	came	16	2	NA	NA	0	0
out	out	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
brand	brand	16	2	NA	NA	0	0
new	new	16	2	NA	NA	0	0
funky	fun-	16	1	NA	NA	0	0
funky	ky	16	2	NA	NA	0	0
sound	sound	16	3	2	1	1	1
now	now	16	2	NA	NA	0	0
i	i	16	2	NA	NA	0	0
came	came	16	2	NA	NA	0	0
here	here	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
this	this	16	2	NA	NA	0	0
straight	straight	16	4	3	1	1	1
our	our	16	1	NA	NA	0	0
heart	heart	16	2	NA	NA	0	0
beat's	beat's	16	2	NA	NA	0	0
not	not	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
normal	nor-	16	1	NA	NA	0	0
normal	mal	16	2	NA	NA	0	0
rate	rate	16	2	3	1	1	1
cuz	cuz	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
excited	ex-	16	2	NA	NA	0	0
excited	ci-	16	2	NA	NA	0	0
excited	ted	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
adrenaline	ad-	16	1	NA	NA	0	0
adrenaline	ren-	16	1	NA	NA	0	0
adrenaline	a-	16	1	NA	NA	0	0
adrenaline	line	16	1	NA	NA	0	0
flows	flows	16	3	4	1	1	0
and	and	16	2	NA	NA	0	0
this	this	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	2	NA	NA	0	0
our	our	16	1	NA	NA	0	0
heartbeat	heart-	16	2	NA	NA	0	0
heartbeat	beat	16	2	NA	NA	0	0
goes	goes	16	2	4	1	1	1
a	a	16	1	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
skip	skip	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
jump	jump	16	2	5	1	0	0
but	but	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
plain	plain	16	1	NA	NA	0	0
ol'	ol'	16	2	NA	NA	0	0
bump	bump	16	3	5	1	1	1
but	but	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bump	bump	16	2	5	1	0	0
bump	bump	16	2	NA	NA	0	0
bump	bump	16	2	5	1	0	0
bump	bump	16	2	NA	NA	0	0
bumpity	bump-	16	1	5	1	0	0
bumpity	i-	16	1	NA	NA	0	0
bumpity	ty	16	1	NA	NA	0	0
bump	bump	16	2	5	1	1	1
it's	it's	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
brand	brand	16	2	NA	NA	0	0
new	new	16	2	NA	NA	0	0
treat	treat	16	1	6	1	0	0
and	and	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
sounds	sounds	16	2	NA	NA	0	0
so	so	16	2	NA	NA	0	0
sweet	sweet	16	4	6	1	1	1
the	the	16	1	NA	NA	0	0
rapping	rap-	16	1	NA	NA	0	0
rapping	pin'	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
our	our	16	1	NA	NA	0	0
new	new	16	2	NA	NA	0	0
heartbeat	heart-	16	2	NA	NA	0	0
heartbeat	beat	16	2	6	1	1	1
