word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
call	call	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
juice	juice	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
i'm	i'm	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
stunt	stunt	16	4	1	1	1	1
riding	rid-	16	1	NA	NA	0	0
riding	in'	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
car	car	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
bump	bump	16	1	NA	NA	0	0
in	in	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
trunk	trunk	16	4	1	1	1	1
tone	tone	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
lap	lap	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
it's	it's	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
pump	pump	16	4	1	1	1	1
breaking	break-	16	1	NA	NA	0	0
breaking	in	16	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
good	good	16	2	NA	NA	0	0
green	green	16	2	NA	NA	0	0
rolling	rol-	16	1	NA	NA	0	0
rolling	lin'	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blunt	blunt	16	4	1	1	1	1
ghetto	ghet-	16	1	NA	NA	0	0
ghetto	to	16	1	NA	NA	0	0
pimp	pimp	16	2	NA	NA	0	0
tight	tight	16	2	NA	NA	0	0
girls	girls	16	2	NA	NA	0	0
say	say	16	1	NA	NA	0	0
i'm	i'm	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mayne	mayne	16	4	2	1	1	1
ice	ice	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wrist	wrist	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ice	ice	16	1	NA	NA	0	0
in	in	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chain	chain	16	4	2	1	1	1
riding	rid-	16	1	NA	NA	0	0
riding	in'	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hood	hood	16	2	NA	NA	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
gripping	gri-	16	1	NA	NA	0	0
gripping	pin'	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
grain	grain	16	2	2	1	1	1
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
sipping	sip-	16	1	NA	NA	0	0
sipping	pin'	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	2	1	0	0
while	while	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
changing	chang-	16	1	NA	NA	0	0
changing	in'	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lane	lane	16	4	2	1	1	1
eyes	eyes	16	2	NA	NA	0	0
real	real	16	2	NA	NA	0	0
tight	tight	16	2	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
choking	chok-	16	1	NA	NA	0	0
choking	ing	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
green	green	16	4	3	1	1	1
vision	vi-	16	1	NA	NA	0	0
vision	sion	16	1	NA	NA	0	0
messed	messed	16	2	NA	NA	0	0
up	up	16	2	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
drinking	drink-	16	1	NA	NA	0	0
drinking	in'	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
lean	lean	16	4	3	1	1	1
messing	mes-	16	1	NA	NA	0	0
messing	sin'	16	1	NA	NA	0	0
