word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
justify	just-	16	1	NA	NA	0	0
justify	i-	16	1	NA	NA	0	0
justify	fy	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
actions	act-	16	1	NA	NA	0	0
actions	ions	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
stackin	stac-	16	1	NA	NA	0	0
stackin	kin	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
dough	dough	16	1	NA	NA	0	0
up	up	16	2	NA	NA	1	1
he	he	16	1	NA	NA	0	0
show	show	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
brick	brick	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
cocaine	co-	16	1	NA	NA	0	0
cocaine	caine	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
baking	ba-	16	1	NA	NA	0	0
baking	king	16	1	NA	NA	0	0
soda	so-	16	2	NA	NA	0	0
soda	da	16	2	NA	NA	1	1
just	just	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
blow	blow	16	1	NA	NA	0	0
up	up	16	3	NA	NA	0	1
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
hold	hold	16	1	NA	NA	0	0
up	up	16	3	NA	NA	1	1
switch	switch	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	1
cause	cause	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
snitchin	snit-	16	1	NA	NA	0	0
snitchin	chin	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
much	much	16	2	NA	NA	1	1
i	i	16	1	NA	NA	0	0
promise	pro-	16	1	NA	NA	0	0
promise	mise	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
missin's	mis-	16	1	NA	NA	0	0
missin's	sin's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
badge	badge	16	2	NA	NA	0	0
coffee	cof-	16	1	NA	NA	0	0
coffee	fee	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
donut	do-	16	1	NA	NA	0	0
donut	nut	16	1	NA	NA	1	1
