word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
shit	shit	4	1	NA	NA	0	1
motherfuckers	mo-	16	1	NA	NA	0	0
motherfuckers	ther-	16	1	NA	NA	0	0
motherfuckers	fuck-	16	1	NA	NA	0	0
motherfuckers	ers	16	1	NA	NA	0	0
step	step	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rear	rear	8	1	1	1	0	0
and	and	16	1	NA	NA	0	0
cheer	cheer	16	6	1	1	1	1
cause	cause	16	1	NA	NA	0	0
tim	tim	8	1	NA	NA	0	0
dog	dog	8	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
here	here	16	6	1	1	1	1
let's	let's	8	1	NA	NA	0	0
get	get	8	1	NA	NA	0	0
right	right	8	1	NA	NA	0	0
down	down	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nitty	nit-	16	1	NA	NA	0	0
nitty	ty	16	1	NA	NA	0	0
gritty	grit-	16	1	2	1	0	0
gritty	ty	16	3	2	2	1	1
and	and	16	2	NA	NA	0	0
talk	talk	16	2	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bullshit	bull-	8	1	NA	NA	0	0
bullshit	shit	8	1	NA	NA	0	0
city	ci-	16	1	2	1	0	0
city	ty	16	7	2	2	1	1
talking	talk-	16	1	NA	NA	0	0
talking	ing	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
compton	comp-	8	1	3	1	0	0
compton	ton	8	1	3	2	1	1
they're	they're	8	1	NA	NA	0	0
no	no	8	1	NA	NA	0	0
comp	comp	8	1	3	1	0	0
and	and	16	1	3	2	0	0
they	they	16	1	NA	NA	0	0
truly	tru-	16	1	NA	NA	0	0
truly	ly	16	1	NA	NA	0	0
ain't	ain't	8	1	NA	NA	0	0
stomping	stomp-	8	1	3	1	0	0
stomping	ing	16	4	3	2	1	1
tim	tim	8	1	NA	NA	0	0
dog	dog	4	1	NA	NA	0	1
a	a	16	1	NA	NA	0	0
black	black	8	1	NA	NA	0	0
man's	man's	8	1	NA	NA	0	0
task	task	4	1	4	1	1	1
i'm	i'm	16	1	NA	NA	0	0
so	so	8	1	NA	NA	0	0
bad	bad	8	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
whip	whip	16	1	NA	NA	0	0
superman's	sup-	16	1	NA	NA	0	0
superman's	er-	16	1	NA	NA	0	0
superman's	man's	8	1	NA	NA	0	0
ass	ass	16	6	4	1	1	1
all	all	8	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
suckers	suck-	16	1	NA	NA	0	0
suckers	ers	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
riff	riff	8	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
west	west	8	1	NA	NA	0	0
