word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
what	what	12	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
bring	bring	12	1	NA	NA	0	0
will	will	24	1	NA	NA	0	0
swing	swing	8	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
ping	ping	4	1	NA	NA	0	0
pong	pong	4	1	NA	NA	1	1
tryin	try-	24	1	NA	NA	0	0
tryin	in	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
copy	co-	12	1	NA	NA	0	0
copy	py	24	1	NA	NA	0	0
this	this	12	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
bet	bet	12	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
swing	swing	4	1	NA	NA	0	0
wrong	wrong	24	5	NA	NA	1	1
i	i	24	1	NA	NA	0	0
ring	ring	12	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
bells	bells	8	1	NA	NA	0	0
just	just	12	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
hear	hear	12	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
ding	ding	4	1	NA	NA	0	0
dong	dong	24	5	NA	NA	1	1
i'm	i'm	24	1	NA	NA	0	0
throwing	throw-	24	1	NA	NA	0	0
throwing	ing	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
style	style	24	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
be	be	24	1	NA	NA	0	0
breakin'	break-	24	1	NA	NA	0	0
breakin'	in'	24	1	NA	NA	0	0
em	em	24	1	NA	NA	0	0
up	up	24	1	NA	NA	0	0
in	in	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
flow	flow	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
the	the	24	1	NA	NA	1	1
song	song	24	1	NA	NA	NA	NA
