word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
love	love	16	2	NA	NA	0	0
fo'	fo'	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
broad	broad	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wit'	wit'	16	2	NA	NA	0	1
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
move	move	16	1	1	1	0	0
her	her	16	1	1	2	1	0
fore	fore	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
lose	lose	16	1	1	1	0	0
her	her	16	1	1	2	0	0
cuz	cuz	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
beggar	beg-	16	1	NA	NA	0	0
beggar	gar	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
muthafuckin'	mu-	16	1	NA	NA	0	0
muthafuckin'	tha-	16	1	NA	NA	0	0
muthafuckin'	fuck-	16	1	NA	NA	0	0
muthafuckin'	in'	16	1	NA	NA	0	0
chooser	choo-	16	1	1	1	0	0
chooser	ser	16	1	1	2	1	0
third	third	16	1	NA	NA	0	0
leg	leg	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
abuser	a-	16	1	NA	NA	0	0
abuser	bu-	16	1	1	1	0	0
abuser	ser	16	1	1	2	0	1
infamous	in-	16	1	NA	NA	0	0
infamous	fa-	16	1	NA	NA	0	0
infamous	mous	16	3	NA	NA	0	0
in	in	16	1	NA	NA	0	0
cities	ci-	16	1	NA	NA	0	0
cities	ties	16	1	NA	NA	1	0
where	where	16	1	NA	NA	0	0
big	big	16	1	NA	NA	0	0
pimping	pimp-	16	1	NA	NA	0	0
pimping	in'	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
hoes	hoes	16	1	NA	NA	0	0
clean	clean	16	2	NA	NA	0	0
no	no	16	1	NA	NA	0	0
aids	aids	16	1	NA	NA	0	0
herpies	her-	16	1	NA	NA	0	0
herpies	pies	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
syphillis	sy-	16	1	2	1	0	0
syphillis	phil-	16	1	2	2	0	0
syphillis	lis	16	1	2	3	1	0
come	come	16	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
whiff	whiff	16	1	2	1	0	0
a	a	16	1	2	2	0	0
this	this	16	4	2	3	0	1
damn	damn	16	2	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
taste	taste	16	1	3	1	0	0
it	it	16	2	3	2	1	1
now	now	32	1	NA	NA	0	0
yo'	yo'	32	1	NA	NA	0	0
money's	mo-	16	1	NA	NA	0	0
money's	ney's	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
smoke	smoke	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ass	ass	16	1	NA	NA	0	0
just	just	12	1	NA	NA	0	0
free	free	12	1	NA	NA	0	0
based	based	12	1	3	1	0	0
it	it	16	3	3	2	1	1
now	now	32	1	NA	NA	0	0
my	my	32	1	NA	NA	0	0
bitch	bitch	12	1	NA	NA	0	0
replaced	re-	12	1	NA	NA	0	0
replaced	placed	12	1	3	1	0	1
it	it	16	3	3	2	0	0
wit'	wit'	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
sexual	se-	16	1	NA	NA	0	0
sexual	xu-	16	1	NA	NA	0	0
sexual	al	16	1	NA	NA	0	0
favor	fa-	16	1	4	1	0	0
favor	vor	16	1	4	2	1	1
but	but	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
mad	mad	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
real	real	16	2	NA	NA	0	0
pimping	pimp-	16	1	NA	NA	0	0
pimping	in'	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	80	9	NA	NA	0	1
check	check	20	1	NA	NA	0	0
yo'	yo'	20	1	NA	NA	0	0
behavior	be-	20	1	NA	NA	0	0
behavior	ha-	20	1	4	1	0	0
behavior	vior	16	2	4	2	1	1
and	and	16	1	NA	NA	0	0
savor	sa-	16	1	4	1	0	0
savor	vor	16	2	4	2	0	1
the	the	16	1	NA	NA	0	0
aroma	a-	16	1	5	1	0	0
aroma	rom-	16	1	5	2	0	0
aroma	a	16	1	5	3	0	0
from	from	16	1	NA	NA	0	0
promona	pro-	16	1	5	1	0	0
promona	mo-	16	1	5	2	0	0
promona	na	16	1	5	3	0	0
to	to	16	1	NA	NA	0	0
tacoma	ta-	16	1	5	1	0	0
tacoma	co-	16	1	5	2	0	0
tacoma	ma	16	1	5	3	1	0
got	got	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
pimping	pimp-	16	1	NA	NA	0	0
pimping	in'	16	1	NA	NA	0	0
diploma	di-	16	1	5	1	0	0
diploma	plo-	16	1	5	2	0	0
diploma	ma	16	1	5	3	0	0
for	for	16	1	NA	NA	0	0
being	be-	24	1	NA	NA	0	0
being	in'	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
cadillac	ca-	16	1	NA	NA	0	0
cadillac	dil-	16	1	NA	NA	0	0
cadillac	lac	16	2	5	1	0	0
chromer	chrom-	16	1	5	2	0	0
chromer	er	16	2	5	3	1	1
fuck	fuck	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sonoma	so-	16	1	5	1	0	0
sonoma	no-	16	1	5	2	0	0
sonoma	ma	16	2	5	3	0	1
i'm	i'm	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
mission	mis-	16	1	NA	NA	0	0
mission	sion	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
benzes	ben-	16	2	6	1	0	0
benzes	zes	16	1	6	2	1	0
knowing	know-	16	1	NA	NA	0	0
knowing	in'	16	1	NA	NA	0	0
xactly	xac-	16	1	NA	NA	0	0
xactly	tly	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
ends	ends	16	2	6	1	0	0
is	is	16	2	6	2	0	1
balling	bal-	16	1	NA	NA	0	0
balling	lin	16	1	NA	NA	0	0
relentless	re-	16	1	NA	NA	0	0
relentless	lent-	16	2	6	1	0	0
relentless	less	16	1	6	2	1	1
and	and	16	1	NA	NA	0	0
then	then	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
friends	friends	16	2	6	1	0	0
is	is	16	1	6	2	0	0
slapping	slap-	16	1	NA	NA	0	0
slapping	pin'	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
glass	glass	16	2	6	1	0	0
chins	chins	16	2	6	2	1	0
it's	it's	16	1	NA	NA	0	0
funny	fun-	16	1	NA	NA	0	0
funny	ny	16	2	NA	NA	0	1
sending	send-	16	1	NA	NA	0	0
sending	in'	16	1	NA	NA	0	0
tricks	tricks	16	1	NA	NA	0	0
home	home	16	3	NA	NA	0	1
broke	broke	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
defenseless	de-	16	1	NA	NA	0	0
defenseless	fense-	16	2	6	1	0	0
defenseless	less	16	1	6	2	1	0
and	and	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
since	since	16	2	6	1	0	0
this	this	16	2	6	2	0	1
boy	boy	16	2	NA	NA	0	0
been	been	16	1	NA	NA	0	0
pimping	pimp-	16	1	NA	NA	0	0
pimping	in'	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pen	pen	16	2	6	1	1	1
i	i	16	1	NA	NA	0	0
promise	pro-	16	1	NA	NA	0	0
promise	mise	16	1	NA	NA	0	0
never	ne-	24	1	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
leave	leave	16	2	NA	NA	0	0
home	home	16	1	NA	NA	0	0
without	with-	16	1	NA	NA	0	0
without	out	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
pimping	pimp-	16	1	NA	NA	0	0
pimping	in'	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	2	6	1	0	0
that's	that's	16	1	NA	NA	0	0
why	why	16	2	NA	NA	1	1
