word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
well	well	16	2	NA	NA	0	0
wishes	wish-	16	1	NA	NA	0	0
wishes	es	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
opposition	op-	16	1	NA	NA	0	0
opposition	po-	16	1	NA	NA	0	0
opposition	si-	16	1	1	1	0	0
opposition	tion	16	2	1	2	1	1
you	you	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
probably	pro-	24	1	NA	NA	0	0
probably	ba-	24	1	NA	NA	0	0
probably	bly	24	1	NA	NA	0	0
cop	cop	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
plea	plea	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
cop	cop	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
pistol	pis-	16	1	1	1	0	0
pistol	tol	16	2	1	2	1	1
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
against	a-	16	1	NA	NA	0	0
against	gainst	16	1	NA	NA	0	0
them	them	16	2	NA	NA	0	1
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
potential	po-	16	1	NA	NA	0	0
potential	ten-	16	1	1	1	0	0
potential	tial	16	2	1	2	1	1
but	but	16	1	NA	NA	0	0
every	ev-	24	1	NA	NA	0	0
every	e-	24	1	NA	NA	0	0
every	ry	24	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
read	read	16	2	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
issue	is-	16	1	1	1	0	0
issue	sue	16	2	1	2	1	1
subscribe	sub-	16	1	NA	NA	0	0
subscribe	scribe	16	2	2	1	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
reside	re-	16	1	NA	NA	0	0
reside	side	16	2	2	1	0	0
where	where	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lions	li-	16	1	2	1	0	0
