word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
slung	slung	16	4	NA	NA	0	0
slang	slang	16	4	1	1	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
came	came	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
do	do	16	3	2	1	1	1
i	i	16	1	NA	NA	0	0
told	told	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
know	know	16	2	2	1	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
my	my	16	4	NA	NA	1	1
name	name	16	4	1	1	0	0
oh	oh	16	3	NA	NA	0	0
no	no	16	2	2	1	0	1
i'm	i'm	16	1	NA	NA	0	0
missing	mis-	16	1	NA	NA	0	0
missing	sin'	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
baby	ba-	16	3	NA	NA	0	0
baby	by	16	3	NA	NA	0	1
my	my	16	3	NA	NA	0	0
pro	pro	16	2	NA	NA	0	0
black	black	16	2	NA	NA	0	0
flow	flow	16	4	2	1	1	1
strange	strange	16	2	1	1	0	0
but	but	16	2	NA	NA	0	0
thats	thats	16	2	NA	NA	0	0
how	how	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
walk	walk	16	2	3	1	0	0
it	it	16	2	3	2	0	1
slangs	slangs	16	2	1	1	0	0
how	how	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
talk	talk	16	2	3	1	0	0
it	it	16	2	3	2	1	1
if	if	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
chart	chart	16	2	NA	NA	0	0
mother	mo-	16	1	NA	NA	0	0
mother	ther	16	1	NA	NA	0	0
fuck	fuck	16	2	3	1	0	0
it	it	16	2	3	2	1	1
how	how	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
come	come	16	2	4	1	1	1
cos'	cos'	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
hands	hands	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nuts	nuts	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
others	o-	16	1	NA	NA	0	0
others	thers	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
gun	gun	16	2	4	1	0	0
nuf	nuf	16	2	NA	NA	1	1
bic	bic	16	2	5	1	0	0
lights	lights	16	2	NA	NA	0	0
flick	flick	16	2	5	1	0	1
when	when	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
vocal	vo-	16	1	NA	NA	0	0
vocal	cal	16	1	NA	NA	0	0
tracks	tracks	16	2	NA	NA	0	0
lit	lit	16	2	5	1	1	1
get	get	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
mad	mad	16	2	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
it	it	16	2	5	1	0	1
that	that	16	1	NA	NA	0	0
they'll	they'll	16	1	NA	NA	0	0
kill	kill	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
shit	shit	16	2	5	1	1	1
i	i	16	1	NA	NA	0	0
gets	gets	16	1	NA	NA	0	0
projects	pro-	12	1	NA	NA	0	0
projects	jects	12	1	NA	NA	0	0
respect	re-	12	1	NA	NA	0	0
respect	spect	16	2	6	1	0	0
from	from	16	2	NA	NA	0	0
east	east	8	1	NA	NA	0	0
and	and	8	1	NA	NA	0	0
west	west	8	1	6	1	1	1
hip	hip	8	1	NA	NA	0	0
hop's	hop's	8	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
matter	mat-	16	1	NA	NA	0	0
matter	ter	16	1	NA	NA	0	0
where	where	8	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
rest	rest	8	1	6	1	1	1
recognize	re-	16	1	NA	NA	0	0
recognize	cog-	16	1	NA	NA	0	0
recognize	nize	8	1	NA	NA	0	0
post	post	8	1	NA	NA	0	0
its	its	8	1	NA	NA	0	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
represent	re-	16	1	NA	NA	0	0
represent	pre-	16	1	NA	NA	0	0
represent	sent	8	1	6	1	1	1
hard	hard	8	1	NA	NA	0	0
core	core	8	1	NA	NA	0	0
ex	ex	8	1	NA	NA	0	0
