word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
black	black	16	2	NA	NA	0	0
stripe	stripe	16	6	NA	NA	0	1
yellow	yel-	16	1	NA	NA	0	0
yellow	low	16	1	NA	NA	0	0
paint	paint	16	5	1	1	1	1
them	them	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
scared	scared	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
bros	bros	16	2	NA	NA	0	0
ain't	ain't	16	5	1	1	1	1
soon	soon	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
club	club	16	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
hoes	hoes	16	2	NA	NA	0	0
face	face	16	6	1	1	1	1
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pedal	pe-	16	1	NA	NA	0	0
pedal	dal	16	1	NA	NA	0	0
once	once	16	2	NA	NA	0	0
make	make	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
floor	floor	16	2	NA	NA	0	0
shake	shake	16	4	1	1	1	1
suede	suede	16	2	1	1	0	0
inside	in-	16	2	NA	NA	0	0
inside	side	16	5	NA	NA	0	1
my	my	16	1	NA	NA	0	0
engine	en-	16	1	NA	NA	0	0
engine	gine	16	1	NA	NA	0	0
roaring	roar-	16	2	2	1	0	0
roaring	ing	16	2	2	2	1	1
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
big	big	16	2	NA	NA	0	0
boy	boy	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
paid	paid	16	2	NA	NA	0	0
for	for	16	2	2	1	0	0
it	it	16	6	2	2	1	1
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pedal	pe-	16	1	NA	NA	0	0
pedal	dal	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
metal	me-	16	1	3	1	0	0
metal	tal	16	1	3	2	1	0
got	got	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
checking	check-	16	1	NA	NA	0	0
checking	ing	16	1	NA	NA	0	0
game	game	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
balling	bal-	16	1	NA	NA	0	0
balling	ling	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
every	ev-	24	1	NA	NA	0	0
every	e-	24	1	NA	NA	0	0
every	ry	24	1	NA	NA	0	0
level	le-	16	1	3	1	0	0
level	vel	16	3	3	2	1	1
hear	hear	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
haters	ha-	16	1	NA	NA	0	0
haters	ters	16	1	NA	NA	0	0
talk	talk	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
there's	there's	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
tell	tell	16	1	3	1	0	0
em	em	16	2	3	2	1	1
just	just	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
million	mil-	16	1	NA	NA	0	0
million	lion	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
million	mil-	16	1	NA	NA	0	0
million	lion	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
schedule	sche-	16	1	3	1	0	0
schedule	dule	16	5	3	2	1	1
no	no	16	2	NA	NA	0	0
love	love	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
breaking	break-	16	1	NA	NA	0	0
breaking	ing	16	1	NA	NA	0	0
hearts	hearts	16	6	4	1	1	1
no	no	16	2	NA	NA	0	0
keys	keys	16	6	NA	NA	0	1
push	push	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
start	start	16	1	4	1	1	1
