word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
grew	grew	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crime	crime	16	2	1	1	0	0
side	side	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
new	new	16	1	NA	NA	0	0
york	york	16	2	NA	NA	0	0
times	times	16	2	1	1	0	0
side	side	16	3	NA	NA	1	1
staying	stay-	16	1	NA	NA	0	0
staying	ing	16	1	NA	NA	0	0
alive	a-	16	1	NA	NA	0	0
alive	live	16	2	1	1	0	0
was	was	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
jive	jive	16	3	1	1	1	1
had	had	16	2	NA	NA	0	0
second	se-	16	1	NA	NA	0	0
second	cond	16	1	NA	NA	0	0
hands	hands	16	4	2	1	0	1
mom's	mom's	16	2	NA	NA	0	0
bounced	bounced	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
man	man	16	4	2	1	1	1
so	so	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
moved	moved	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
shaolin	shao-	16	2	NA	NA	0	0
shaolin	lin	16	1	NA	NA	0	0
land	land	16	3	2	1	1	1
a	a	16	1	NA	NA	0	0
young	young	16	2	NA	NA	0	0
youth	youth	16	4	3	1	0	1
rocking	rock-	16	1	NA	NA	0	0
rocking	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gold	gold	16	2	NA	NA	0	0
tooth	tooth	16	3	3	1	0	1
lo	lo	16	2	NA	NA	0	0
goose	goose	16	2	3	1	1	1
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
way	way	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
begin	be-	16	1	NA	NA	0	0
begin	gin	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
g	g	16	1	NA	NA	0	0
off	off	16	2	NA	NA	0	0
was	was	16	1	NA	NA	0	0
drug	drug	16	2	NA	NA	0	0
loot	loot	16	3	3	1	1	1
and	and	16	1	NA	NA	0	0
let's	let's	16	2	NA	NA	0	0
start	start	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
this	this	16	2	NA	NA	0	0
son	son	16	3	4	1	0	1
rolling	rol-	16	1	NA	NA	0	0
rolling	ling	16	1	NA	NA	0	0
with	with	16	1	NA	NA	1	0
this	this	16	2	NA	NA	0	0
one	one	16	2	4	1	0	1
and	and	16	1	NA	NA	0	0
that	that	16	2	5	1	0	0
one	one	16	2	4	1	0	1
pulling	pul-	16	1	NA	NA	0	0
pulling	ling	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
gats	gats	16	2	5	1	0	0
for	for	16	1	NA	NA	0	0
fun	fun	16	3	4	1	1	1
but	but	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dream	dream	16	2	6	1	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
teen	teen	16	2	6	1	0	1
who	who	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fiend	fiend	16	4	6	1	1	1
started	star-	16	1	NA	NA	0	0
started	ted	16	1	NA	NA	0	0
smoking	smok-	16	1	NA	NA	0	0
smoking	ing	16	1	NA	NA	0	0
woolies	woo-	16	1	NA	NA	0	0
woolies	lies	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
sixteen	six-	16	2	NA	NA	0	0
sixteen	teen	16	4	6	1	1	1
and	and	16	1	NA	NA	0	0
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	2	NA	NA	0	0
gates	gates	16	2	7	1	0	0
and	and	16	1	NA	NA	0	0
doing	do-	16	1	NA	NA	0	0
doing	ing	16	1	NA	NA	0	0
hits	hits	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
high	high	16	2	NA	NA	0	0
stakes	stakes	16	3	7	1	1	1
making	mak-	16	1	NA	NA	0	0
making	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
way	way	16	2	NA	NA	0	0
on	on	16	2	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	0	0
escapes	es-	16	1	NA	NA	0	0
escapes	capes	16	4	7	1	1	1
no	no	16	1	NA	NA	0	0
question	quest-	16	2	NA	NA	0	0
question	ion	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
speed	speed	16	3	8	1	0	1
for	for	16	1	NA	NA	0	0
cracks	cracks	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
weed	weed	16	4	8	1	1	1
the	the	16	1	NA	NA	0	0
combination	com-	16	1	NA	NA	0	0
combination	bin-	16	1	NA	NA	0	0
combination	a-	16	1	NA	NA	0	0
combination	tion	16	1	NA	NA	0	0
made	made	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
eyes	eyes	16	2	NA	NA	0	0
bleed	bleed	16	5	8	1	1	1
no	no	16	1	NA	NA	0	0
question	quest-	16	2	NA	NA	0	0
question	ion	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
flow	flow	16	1	9	1	0	0
off	off	16	2	9	2	0	0
and	and	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dough	dough	16	1	9	1	0	0
all	all	16	3	9	2	1	1
sticking	stick-	16	1	NA	NA	0	0
sticking	ing	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
white	white	16	2	NA	NA	0	0
boys	boys	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
ball	ball	16	2	NA	NA	0	0
courts	courts	16	4	NA	NA	1	1
my	my	16	1	NA	NA	0	0
life	life	16	2	NA	NA	0	0
got	got	16	2	NA	NA	0	0
no	no	16	1	NA	NA	0	0
better	bet-	16	1	10	1	0	0
better	ter	16	3	10	2	0	1
same	same	16	2	NA	NA	0	0
damn	damn	16	2	NA	NA	0	0
lo	lo	16	2	NA	NA	0	0
sweater	swea-	16	1	10	1	0	0
sweater	ter	16	2	10	2	1	1
times	times	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
rough	rough	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
tough	tough	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
leather	lea-	16	1	10	1	0	0
leather	ther	16	3	10	2	1	1
figured	fi-	16	1	NA	NA	0	0
figured	gured	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wrong	wrong	16	2	NA	NA	0	0
route	route	16	3	11	1	1	1
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sick	sick	16	2	NA	NA	0	0
tight	tight	16	2	NA	NA	0	0
clique	clique	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
went	went	16	2	NA	NA	0	0
all	all	16	2	NA	NA	0	0
