word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	24	1	NA	NA	0	0
not	not	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
table	ta-	24	1	NA	NA	0	0
table	ble	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
can	can	24	1	NA	NA	0	0
come	come	24	1	NA	NA	0	0
and	and	24	1	NA	NA	1	0
lay	lay	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
cup	cup	24	2	NA	NA	0	0
down	down	24	2	NA	NA	0	0
on	on	24	3	NA	NA	0	0
now	now	24	6	NA	NA	1	1
im	im	24	1	NA	NA	0	0
not	not	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
shoulder	shoul-	24	1	NA	NA	0	0
shoulder	der	24	1	NA	NA	0	0
for	for	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
bag	bag	24	4	NA	NA	1	1
wanna	wan-	24	1	NA	NA	0	0
wanna	na	24	1	NA	NA	0	0
carry	car-	24	1	NA	NA	0	0
carry	ry	24	1	NA	NA	0	0
your	your	24	1	NA	NA	0	0
heavy	hea-	24	1	NA	NA	0	0
heavy	vy	24	1	NA	NA	0	0
load	load	24	6	1	1	1	1
i'm	i'm	24	1	NA	NA	0	0
not	not	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
road	road	24	1	1	1	0	0
that	that	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
take	take	24	1	NA	NA	0	0
when	when	24	1	NA	NA	1	0
you're	you're	24	1	NA	NA	0	0
looking	look-	24	1	NA	NA	0	0
looking	in	24	1	NA	NA	0	0
for	for	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
short	short	24	2	NA	NA	0	0
cut	cut	24	9	NA	NA	1	1
i	i	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
stepping	step-	24	1	NA	NA	0	0
stepping	pin'	24	1	NA	NA	0	0
stone	stone	24	2	1	1	0	0
to	to	24	1	NA	NA	0	0
be	be	24	1	NA	NA	0	0
stepping	step-	24	1	NA	NA	0	0
stepping	pin'	24	1	NA	NA	0	0
on	on	24	2	1	1	1	0
i	i	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
nobody's	no-	24	1	NA	NA	0	0
nobody's	bo-	24	1	NA	NA	0	0
nobody's	dy's	24	1	NA	NA	0	0
crutch	crutch	24	6	NA	NA	1	1
i	i	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
money	mon-	24	1	2	1	0	0
money	ey	24	1	2	2	0	0
man	man	24	2	2	3	0	0
with	with	24	1	NA	NA	0	0
your	your	24	1	NA	NA	1	0
money	mon-	24	1	2	1	0	0
money	ey	24	1	2	2	0	0
man	man	24	2	2	3	0	0
you	you	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
looking	loo-	24	1	NA	NA	0	0
looking	kin'	24	1	NA	NA	0	0
at	at	24	1	NA	NA	0	0
me	me	24	6	3	1	1	1
i'm	i'm	24	1	NA	NA	0	0
not	not	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
cheap	cheap	24	2	4	1	0	0
one	one	24	2	4	2	0	0
looking	loo-	24	1	NA	NA	0	0
looking	kin'	24	1	NA	NA	0	0
at	at	24	1	NA	NA	0	0
me	me	24	1	4	1	0	0
son	son	24	2	4	2	1	0
you	you	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
looking	loo-	24	1	NA	NA	0	0
looking	kin'	24	1	NA	NA	0	0
at	at	24	1	NA	NA	0	0
free	free	24	6	3	1	1	1
i	i	24	1	NA	NA	0	0
ain't	ain't	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
dish	dish	24	2	NA	NA	0	0
rag	rag	24	2	NA	NA	0	0
to	to	24	1	NA	NA	0	0
come	come	24	1	NA	NA	0	0
clean	clean	24	2	NA	NA	0	0
up	up	24	2	NA	NA	1	0
all	all	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
shit	shit	24	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
ya	ya	24	1	NA	NA	0	0
dish	dish	24	2	5	1	0	0
out	out	24	4	5	2	1	1
ain't	ain't	24	1	NA	NA	0	0
got	got	24	1	NA	NA	0	0
no	no	24	1	NA	NA	0	0
check	check	24	2	6	1	0	0
for	for	24	1	6	2	0	0
em	em	24	1	6	3	1	0
if	if	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
checking	check-	24	1	6	1	0	0
checking	in'	24	1	6	2	0	0
in	in	24	2	6	3	0	0
motha	moth-	24	1	NA	NA	0	0
motha	a	24	1	NA	NA	0	0
fucka	fuck-	24	1	NA	NA	0	0
fucka	a	24	1	NA	NA	0	0
check	check	24	1	NA	NA	0	0
this	this	24	2	5	1	0	0
out	out	24	1	5	2	1	1
