word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
plugs	plugs	16	6	1	1	0	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
homies	hom-	16	1	NA	NA	0	0
homies	ies	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
be	be	48	7	NA	NA	0	0
selling	sel-	12	1	NA	NA	0	0
selling	lin'	12	1	NA	NA	0	0
drugs	drugs	16	6	1	1	1	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	2	2	1	0	0
street	street	16	4	2	2	1	1
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fat	fat	16	2	2	1	0	0
heat	heat	16	2	2	2	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
better	bet-	16	1	NA	NA	0	0
better	ter	16	1	NA	NA	0	0
run	run	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	0
athletes	ath-	16	2	2	1	0	0
athletes	letes	16	4	2	2	1	1
i'm	i'm	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
nigga	nig-	16	1	3	1	0	0
nigga	ga	16	6	3	2	1	1
my	my	16	1	NA	NA	0	0
bank	bank	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
america	a-	16	1	NA	NA	0	0
america	mer-	16	1	NA	NA	0	0
america	i-	16	1	NA	NA	0	0
america	ca	16	1	NA	NA	0	0
account	ac-	16	1	NA	NA	0	0
account	count	16	2	NA	NA	0	0
got	got	16	2	NA	NA	0	0
six	six	16	2	NA	NA	0	0
figures	fi-	16	1	3	1	0	0
figures	gures	16	3	3	2	1	1
i'm	i'm	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
block	block	16	4	4	1	1	1
police	po-	16	2	NA	NA	0	0
police	lice	16	2	NA	NA	0	0
pull	pull	16	2	NA	NA	0	0
up	up	16	3	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
stash	stash	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
glock	glock	16	7	4	1	1	1
you	you	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
low	low	16	2	5	1	0	0
low	low	16	4	5	2	1	1
you're	you're	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
talking	talk-	16	1	NA	NA	0	0
talking	in'	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
poe	poe	16	2	5	1	0	0
pose	pose	16	8	5	2	1	1
porsche	por-	16	1	NA	NA	0	0
porsche	sche	16	1	NA	NA	0	0
sitting	sit-	16	1	NA	NA	0	0
sitting	tin'	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
forgi's	for-	16	2	6	1	0	0
forgi's	gi's	16	10	6	2	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
afford	af-	16	1	NA	NA	0	0
afford	ford	16	2	6	1	0	0
these	these	16	5	6	2	1	1
the	the	16	1	NA	NA	0	0
panamera	pan-	16	1	NA	NA	0	0
panamera	a-	16	1	NA	NA	0	0
panamera	mer-	16	1	NA	NA	0	0
panamera	a	16	1	NA	NA	0	0
shittin'	shit-	16	1	NA	NA	0	0
shittin'	tin'	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nine	nine	16	1	NA	NA	0	0
eleven	e-	16	1	NA	NA	0	0
eleven	le-	16	1	7	1	0	0
eleven	ven	16	6	7	2	1	1
i	i	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
homies	hom-	16	1	NA	NA	0	0
homies	ies	16	1	NA	NA	0	0
not	not	16	2	NA	NA	0	0
nine	nine	16	1	NA	NA	0	0
eleven	e-	16	1	NA	NA	0	0
eleven	le-	16	1	7	1	0	0
eleven	ven	16	7	7	2	1	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
juice	juice	16	1	8	1	1	0
but	but	16	1	NA	NA	0	0
i'll	i'll	16	2	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
pac	pac	16	2	NA	NA	0	0
did	did	16	2	NA	NA	0	0
q	q	16	1	8	1	1	1
