word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
live	live	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
legacy	le-	16	1	1	1	0	0
legacy	ga-	16	1	1	2	0	0
legacy	cy	16	1	1	3	0	0
my	my	16	1	NA	NA	0	0
destiny	des-	16	1	1	1	0	0
destiny	ti-	16	1	1	2	0	0
destiny	ny	16	1	1	3	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
sure	sure	16	2	2	1	1	1
you	you	16	1	NA	NA	0	0
know	know	16	2	2	1	0	1
i'd	i'd	16	1	NA	NA	0	0
rather	ra-	16	1	NA	NA	0	0
rather	ther	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
slow	slow	16	1	2	1	0	0
though	though	16	3	NA	NA	1	1
hopping	hop-	16	1	NA	NA	0	0
hopping	ping	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
four	four	16	1	NA	NA	0	0
door	door	16	3	2	1	0	1
ride	ride	16	3	NA	NA	0	1
dramatized	dram-	32	1	NA	NA	0	0
dramatized	a-	32	1	NA	NA	0	0
dramatized	tized	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
game	game	16	1	3	1	1	0
but	but	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
disrespecting	dis-	16	1	4	1	0	0
disrespecting	res-	32	1	4	2	0	0
disrespecting	pec-	16	1	4	3	0	0
disrespecting	ting	32	1	4	4	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	1	NA	NA	0	0
so	so	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
disrespecting	dis-	16	1	4	1	0	0
disrespecting	res-	32	1	4	2	0	0
disrespecting	pec-	16	1	4	3	0	0
disrespecting	ting	32	1	4	4	0	0
my	my	16	1	NA	NA	0	0
game	game	16	1	3	1	0	0
can	can	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
hear	hear	32	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
man	man	16	2	NA	NA	1	1
better	bet-	32	1	NA	NA	0	0
better	ter	32	1	NA	NA	0	0
watch	watch	16	1	NA	NA	0	0
where	where	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
walking	wal-	32	1	5	1	0	0
walking	king	32	1	5	2	0	0
if	if	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
talking	talk-	32	1	5	1	0	0
talking	ing	32	1	5	2	0	0
that	that	16	1	NA	NA	0	0
shit	shit	16	1	6	1	0	0
especially	e-	48	1	NA	NA	0	0
especially	spec-	48	1	NA	NA	0	0
especially	ially	48	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
counterfeit	count-	16	1	NA	NA	0	0
counterfeit	er-	16	1	NA	NA	0	0
counterfeit	feit	16	3	6	1	1	1
fuck	fuck	32	1	NA	NA	0	0
around	a-	32	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
wig	wig	16	3	NA	NA	0	0
split	split	16	3	6	1	0	1
tryna	try-	16	1	NA	NA	0	0
tryna	na	16	1	NA	NA	0	0
dig	dig	16	3	NA	NA	0	0
shit	shit	16	2	6	1	1	1
but	but	16	1	NA	NA	0	0
really	real-	32	1	NA	NA	0	0
really	ly	32	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
murderer	mur-	16	2	7	1	0	0
murderer	der-	16	1	7	2	0	0
murderer	er	16	2	7	3	0	1
but	but	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
say	say	16	2	NA	NA	1	1
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	32	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
never	ne-	32	1	NA	NA	0	0
never	ver	32	1	NA	NA	0	0
heard	heard	16	1	7	1	0	0
of	of	16	1	7	2	0	0
ya	ya	16	2	7	3	0	1
full	full	32	1	NA	NA	0	0
of	of	32	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
weed	weed	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
belling	bel-	16	1	NA	NA	0	0
belling	ling	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
block	block	16	1	NA	NA	0	0
doing	do-	32	1	NA	NA	0	0
doing	in	32	1	NA	NA	0	0
bout	bout	16	1	NA	NA	0	0
four	four	16	1	NA	NA	0	0
five	five	16	3	8	1	1	1
taking	tak-	16	1	NA	NA	0	0
taking	in'	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
none	none	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
ya'll	ya'll	16	1	NA	NA	0	0
so	so	32	1	NA	NA	0	0
you	you	32	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
jive	jive	16	3	8	1	1	1
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mentality	men-	16	1	9	1	0	0
mentality	tal-	16	1	9	2	0	0
mentality	i-	16	1	9	3	0	0
mentality	ty	16	1	9	4	0	0
what	what	16	2	NA	NA	0	1
don't	don't	16	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
casualty	ca-	16	1	9	1	0	0
casualty	su-	32	1	9	2	0	0
casualty	al-	32	1	9	3	0	0
casualty	ty	16	1	9	4	1	1
nigga	nig-	16	1	NA	NA	0	0
