syllable	position	measure	cardinality	corpus	verse
boy	8	1	16	andre3k	aquemini2
ma_	10	5	16	andre3k	aquemini2
out_	15	21	16	andre3k	aquemini2
_kast	0	22	16	andre3k	aquemini2
my_	3	4	12	andre3k	aquemini4
_self	4	4	12	andre3k	aquemini4
so	5	4	12	andre3k	aquemini4
to	6	4	16	andre3k	aquemini4
cee	13	6	16	andre3k	aquemini4
a_	2	7	16	andre3k	aquemini4
_en	4	7	16	andre3k	aquemini4
_ing	4	9	16	andre3k	aquemini4
o	14	8	16	andre3k	atliens4
nev	7	2	16	andre3k	babylon1
to	6	4	16	andre3k	babylon1
shake	7	4	16	andre3k	babylon1
ass	14	4	16	andre3k	babylon1
where	0	6	16	andre3k	babylon1
a	1	6	16	andre3k	babylon1
bon	2	6	16	andre3k	babylon1
nig	5	6	16	andre3k	babylon1
down	2	8	24	andre3k	babylon1
that_	7	10	16	andre3k	babylon1
blow	8	10	16	andre3k	babylon1
play_	3	5	16	andre3k	babylon2
_boy	4	5	16	andre3k	babylon2
p	0	8	16	andre3k	babylon2
e	1	8	16	andre3k	babylon2
we'd	4	8	16	andre3k	babylon2
be	5	8	16	andre3k	babylon2
clothes	4	9	16	andre3k	babylon2
on	5	9	16	andre3k	babylon2
next	12	12	16	andre3k	babylon2
song	13	12	16	andre3k	babylon2
hel_	0	31	16	andre3k	bob1
_lo	1	31	16	andre3k	bob1
let	6	31	16	andre3k	bob1
your	7	31	16	andre3k	bob1
shit	0	9	16	andre3k	daArtPartOne2
min-	4	12	16	andre3k	daArtPartOne2
ute	5	12	16	andre3k	daArtPartOne2
two	8	20	16	andre3k	daArtPartOne2
months	9	20	16	andre3k	daArtPartOne2
the	6	2	16	andre3k	daArtPartTwo1
sky	7	2	16	andre3k	daArtPartTwo1
is	8	2	16	andre3k	daArtPartTwo1
on	4	6	16	andre3k	daArtPartTwo1
i'm	5	6	16	andre3k	daArtPartTwo1
phone	12	6	16	andre3k	daArtPartTwo1
her	8	16	16	andre3k	daArtPartTwo1
face	9	16	16	andre3k	daArtPartTwo1
when	10	16	16	andre3k	daArtPartTwo1
on	5	2	16	andre3k	elevators1
start	0	3	16	andre3k	elevators1
of	1	3	16	andre3k	elevators1
day	5	1	24	andre3k	elevators4
way	17	1	24	andre3k	elevators4
came	24	1	24	andre3k	elevators4
from	1	2	24	andre3k	elevators4
say_	6	2	16	andre3k	elevators4
you	4	3	32	andre3k	elevators4
look_	10	4	16	andre3k	elevators4
ask	0	5	16	andre3k	elevators4
in	1	5	16	andre3k	elevators4
got	0	6	16	andre3k	elevators4
bu_	1	6	16	andre3k	elevators4
_nough	14	8	24	andre3k	elevators4
ci_	10	11	16	andre3k	elevators4
gon_	10	12	16	andre3k	elevators4
_gale	12	14	16	andre3k	extraterrestrial2
_tra_	8	17	16	andre3k	extraterrestrial2
_al	14	17	16	andre3k	extraterrestrial2
_kast	0	1	16	andre3k	gangstaShit5
im_	8	2	16	andre3k	gangstaShit5
_press	9	2	16	andre3k	gangstaShit5
street	8	5	16	andre3k	gangstaShit5
e_	9	5	16	andre3k	gangstaShit5
if	11	8	16	andre3k	gangstaShit5
_bulls	15	8	16	andre3k	gangstaShit5
y'all	15	16	16	andre3k	gangstaShit5
boys	7	17	16	andre3k	gangstaShit5
toys	15	17	16	andre3k	gangstaShit5
in_	2	18	16	andre3k	gangstaShit5
bo	10	0	16	andre3k	gasoline1
dy	11	0	16	andre3k	gasoline1
some	15	5	16	andre3k	gasoline1
bo	0	6	16	andre3k	gasoline1
dy	1	6	16	andre3k	gasoline1
ain't	4	18	16	andre3k	gasoline1
no_	5	18	16	andre3k	gasoline1
with	0	4	16	andre3k	humbleMumble1
it	1	4	16	andre3k	humbleMumble1
hit	12	4	16	andre3k	humbleMumble1
it	13	4	16	andre3k	humbleMumble1
pause	12	10	16	andre3k	humbleMumble1
it	13	10	16	andre3k	humbleMumble1
a	4	12	16	andre3k	humbleMumble1
quote	5	12	16	andre3k	humbleMumble1
for	6	12	16	andre3k	humbleMumble1
queen	12	3	16	andre3k	jazzyBelle1
thang	13	3	16	andre3k	jazzyBelle1
seen	12	4	16	andre3k	jazzyBelle1
thangs	13	4	16	andre3k	jazzyBelle1
want	3	1	16	andre3k	jazzyBelle1
a	4	1	16	andre3k	jazzyBelle1
like	0	6	16	andre3k	jazzyBelle1
that	1	6	16	andre3k	jazzyBelle1
right	0	7	16	andre3k	jazzyBelle1
back	1	7	16	andre3k	jazzyBelle1
angs	6	7	16	andre3k	jazzyBelle1
when	7	7	16	andre3k	jazzyBelle1
you	8	7	16	andre3k	jazzyBelle1
for	9	8	16	andre3k	jazzyBelle1
em	10	8	16	andre3k	jazzyBelle1
can	14	8	16	andre3k	jazzyBelle1
let	15	8	16	andre3k	jazzyBelle1
they	0	9	16	andre3k	jazzyBelle1
throw	1	9	16	andre3k	jazzyBelle1
em	2	9	16	andre3k	jazzyBelle1
hitch_	6	9	16	andre3k	jazzyBelle1
_i_	7	9	16	andre3k	jazzyBelle1
kin	8	9	16	andre3k	jazzyBelle1
got	12	10	16	andre3k	jazzyBelle1
it	13	10	16	andre3k	jazzyBelle1
Had	15	10	16	andre3k	jazzyBelle1
it	0	11	16	andre3k	jazzyBelle1
Four	1	13	16	andre3k	jazzyBelle1
Shoes	2	13	16	andre3k	jazzyBelle1
Bo	6	13	16	andre3k	jazzyBelle1
knew	7	13	16	andre3k	jazzyBelle1
von	8	1	12	andre3k	mainstream2
go	0	2	16	andre3k	mainstream2
cart	1	2	16	andre3k	mainstream2
rush_	3	2	16	andre3k	mainstream2
_in'	4	2	16	andre3k	mainstream2
find	12	2	16	andre3k	mainstream2
them	13	2	16	andre3k	mainstream2
you	15	5	16	andre3k	mainstream2
got	0	6	16	andre3k	mainstream2
hun_	1	6	16	andre3k	mainstream2
so	5	7	32	andre3k	mainstream2
gon_	6	7	16	andre3k	mainstream2
cause	6	14	16	andre3k	mainstream2
trust	7	14	16	andre3k	mainstream2
wrote	4	15	16	andre3k	mainstream2
this	5	15	16	andre3k	mainstream2
down	6	17	16	andre3k	mainstream2
me	3	2	16	andre3k	millennium1
go	2	3	16	andre3k	millennium1
_fil_	7	13	16	andre3k	millennium1
_tra_	8	13	16	andre3k	millennium1
it	13	12	16	andre3k	millennium1
it's	4	16	16	andre3k	millennium1
gon	5	16	16	andre3k	millennium1
thoughts	5	11	12	andre3k	msJackson2
pre	4	16	16	andre3k	msJackson2
sent	5	16	16	andre3k	msJackson2
ask	0	12	16	andre3k	msJackson2
in	1	12	16	andre3k	msJackson2
re_	6	1	16	andre3k	ovaDaWudz2
_cord	7	1	16	andre3k	ovaDaWudz2
and	14	4	16	andre3k	ovaDaWudz2
lit_	15	4	16	andre3k	ovaDaWudz2
_yard	8	5	16	andre3k	ovaDaWudz2
back_	11	5	24	andre3k	ovaDaWudz2
go	2	4	24	andre3k	questionMark1
to	3	4	24	andre3k	questionMark1
sleep	4	4	24	andre3k	questionMark1
fight	14	7	24	andre3k	questionMark1
a	15	7	24	andre3k	questionMark1
whole	16	7	24	andre3k	questionMark1
to	0	5	16	andre3k	rosaParks2
i	14	5	16	andre3k	rosaParks2
try	15	5	16	andre3k	rosaParks2
to	0	6	16	andre3k	rosaParks2
new	6	18	16	andre3k	rosaParks2
joe	7	18	16	andre3k	rosaParks2
re	14	18	16	andre3k	rosaParks2
cord	15	18	16	andre3k	rosaParks2
back	7	4	16	andre3k	skewIt1
on	8	4	16	andre3k	skewIt1
here	3	6	16	andre3k	skewIt1
all	0	11	16	andre3k	skewIt1
that	1	11	16	andre3k	skewIt1
I'm	15	11	16	andre3k	skewIt1
by	10	12	16	andre3k	skewIt1
far	11	12	16	andre3k	skewIt1
can	0	5	16	andre3k	skewIt1
i	1	5	16	andre3k	skewIt1
pro	12	3	16	andre3k	twoDopeBoyz4
jects	13	3	16	andre3k	twoDopeBoyz4
risk	12	2	16	andre3k	twoDopeBoyz4
it	13	2	16	andre3k	twoDopeBoyz4
p	12	9	16	andre3k	twoDopeBoyz4
e	13	9	16	andre3k	twoDopeBoyz4
golf	12	3	16	andre3k	wailin2
balls	13	3	16	andre3k	wailin2
boss	12	3	16	andre3k	wailin2
hogs	13	3	16	andre3k	wailin2
ta	13	6	16	andre3k	wailin2
dap	8	12	16	andre3k	wailin2
me	9	12	16	andre3k	wailin2
hear 	12	8	16	andre3k	wailin2
those	13	8	16	andre3k	wailin2
don't	8	2	16	andre3k	wheelzOfSteel2
sell	9	2	16	andre3k	wheelzOfSteel2
same	0	2	16	andre3k	xplosion1
time	1	2	16	andre3k	xplosion1
un_	0	2	16	andre3k	xplosion1
_quy	8	4	16	andre3k	xplosion1
hel	1	1	16	andre3k	xplosion1
lo	2	1	16	andre3k	xplosion1
me	3	4	16	andre3k	xplosion1
on	4	4	16	andre3k	xplosion1
va	8	16	16	andre3k	xplosion1
left	12	18	16	andre3k	xplosion1
you	13	18	16	andre3k	xplosion1
what	15	18	16	andre3k	xplosion1
play	9	23	16	andre3k	xplosion1
is	10	23	16	andre3k	xplosion1
_one's	5	9	16	andre3k	yallScared3
is	2	10	16	andre3k	yallScared3
on	3	10	16	andre3k	yallScared3
it	4	10	16	andre3k	yallScared3
re_	4	11	16	andre3k	yallScared3
hab	5	11	16	andre3k	yallScared3
You	12	11	16	blackThought	artImitatesLife
scared	13	11	16	blackThought	baby1
they	8	12	16	blackThought	baby1
scared	9	12	16	blackThought	baby1
while	4	15	16	blackThought	baby1
pen-	13	10	16	blackThought	cantStopThis2
ing	14	10	16	blackThought	clap
tin	2	12	16	blackThought	clap
bo-	2	16	16	blackThought	clap
cause	6	11	16	blackThought	clap
damn	0	2	16	blackThought	congregation
it	1	2	16	blackThought	congregation
send	7	3	16	blackThought	congregation
in	8	3	16	blackThought	congregation
threw	4	5	16	blackThought	congregation
back	5	5	16	blackThought	congregation
blue	12	5	16	blackThought	congregation
black	13	5	16	blackThought	congregation
in-	4	11	16	blackThought	dearGod2
to	5	11	16	blackThought	dearGod2
cally	4	16	16	blackThought	dearGod2
been	5	16	16	blackThought	falseMedia
