artist	title	accRef1	mixRef1	diff1	accRef2	mixRef2	diff2	drift	dbA	dbAmeas	dbB	dbBmeas	tempo
50Cent	candyShop	5.428	5.585	0.157	36.027	36.186	0.159	0	1.07	1	37.806	16	97.99651568
arrestedDevelopment	living_v2	0.957	0.897	-0.06	45.879	45.819	-0.06	0	0.673	0	22.742	8	87
bigBoi	shutterbug_v1	2.314	2.24	-0.074	38.488	38.42	-0.068	0	2.35	1	38.97	17	98.3069361
bigBoi	shutterbugg	2.314	2.24	-0.074	38.488	38.42	-0.068	0	2.35	1	38.97	17	98.3069361
bigPun	dreamShatterer_v1	0.033	0.039	0.006	45.778	45.742	-0.036	-0.001	0.489	0	20.469	8	96.1
bigPun	ImNotAPlayer_v1	12.511	42.749	30.238	12.511	42.749	30.238	0	33.732	1	53.99	9	94.7773719
bigPun	ImNotAPlayer_v2	2.564	92.217	89.653	2.564	92.217	89.653	0	84.376	0	104.641	8	94.7446336
bigPun	John_v2	4.131	71.664	67.533	31.008	98.163	67.155	-0.014	67.869	0	88.93	8	91.1637624
bigPun	WhoIsAThug_v1	6.62	26.593	19.973	29.899	49.869	19.97	0	21.59570968	0	42.22970968	8	93.05030532
bigPun	YouAintAKiller_v1	0.11	21.144	21.034	25.043	46.09	21.047	0.001	21.576	0	42.694	8	90.91770054
blackRob	whoa	0.017	0.062	0.045	31.498	31.545	0.047	0	0.547	1	31.1	12	86.40722679
blackThought	myFavoriteMutiny	0	0	0	0	0	0	NA	0.237	0	18.576	8	104.6949125
brotherAli	talkinMyShit_v2	2.613	120.9	118.287	30.374	148.848	118.474	0.007	120.58	0	171.571	20	94.13425899
bubbaSparxxx	deliverance	1.758	1.752	-0.006	29.939	29.955	0.016	0.001	0.309	1	31.688	13	91.78112751
casual	thatsHowItIs	1.903	0.324	-1.579	44.667	43.077	-1.59	0	0.108	1	50.722	20	90.09364998
dannyBrown	dieLike_v2	34.004	34.656	0.652	24.914	25.583	0.669	-0.002	0	0	23.272	8	82.5
doggPound	anybodyKilla2	2.372	2.512	0.14	28.869	29.021	0.152	0	0.178	0	20.011	8	96.8
drake	over_v3	0.011	0.028	0.017	36.697	36.728	0.031	0	0.32	0	25.557	8	75.21
iceCube	itWasAGoodDay	18.009	41.295	23.286	34.249	57.596	23.347	0.004	23.514	1	81.75	21	82.42324335
jayZ	99Problems_v1	0.424	0.202	-0.222	40.584	40.352	-0.232	0	5.73	2	26.331	10	93.19935925
jayZ	FeelingIt_v3	5.906	156.706	150.8	23.364	174.175	150.811	0.001	157.611	0	180.704	8	83.14207769
jayZ	HeartOfTheCity_v1	2.803	8.483	5.68	19.718	25.397	5.679	0	6.031	0	28.466	8	85.58056608
jayZ	SongCry_v3	1.616	179.192	177.576	31.099	208.674	177.575	0	178.038	0	200.494	8	85.50053438
jayZ	TheBounce_v1	27.574	4.248	-23.326	36.293	12.965	-23.328	0	1.994	10	17.048	16	95.6556397
jayZ	WhoYouWit_v3	3.401	3.392	-0.009	49.344	48.428	-0.916	-0.02	5.567	2	20.742	8	94.89291598
kanyeWest	Diamonds_v1	5.304	10.019	4.715	18.202	22.915	4.713	0	6.695	0	26.451	8	97.18566511
kanyeWest	Extravaganza_v3	0.838	175.21	174.372	21.115	195.462	174.347	-0.001	172.96	0	192.162	8	99.98958442
kanyeWest	Selfish_v1	0.549	81.787	81.238	22.05	103.295	81.245	0	81.13	0	101.154	8	95.88493807
kanyeWest	TouchTheSky_v1	7.885	27.231	19.346	34.715	54.603	19.888	0.02	20.303	0	38.293	8	106.7259589
kanyeWest	TwoWords_v1	5.049	109.111	104.062	27.083	131.602	104.519	0.02	107.298	1	127.013	8	85.21430383
kanyeWest	WeMajor_v1	6.106	72.925	66.819	38.907	105.715	66.808	0	70.253	1	92.712	9	85.4891135
kendrickLamar	artOfPeerPressure1	0	0	0	0	0	0	NA	0.6724375	0	20.8824375	8	95.00247402
kendrickLamar	averageJoe1	0	0	0	0	0	0	NA	0.39525	0	21.37925	8	91.49828441
kendrickLamar	bitchDont2	0	0	0	0	0	0	NA	0.8085	0	29.4645	8	67.00167504
kendrickLamar	celebration3	0	0	0	0	0	0	NA	0.1525	0	18.79250001	8	103.0042918
kendrickLamar	colors1	0	0	0	0	0	0	NA	-0.0085	0	24.2955	8	78.99934167
kendrickLamar	deadRappers2	0	0	0	0	0	0	NA	-0.43465625	0	23.61834375	8	79.82372261
kendrickLamar	determined2	0	0	0	0	0	0	NA	0.3109375	0	19.32093749	8	100.999474
kendrickLamar	drugsOnTheSchoolyard1	0	0	0	0	0	0	NA	0.5519375	0	30.0899375	8	65.00101564
