artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
arrestedDevelopment	living2	-1	3.25	87	0.673	22.742	acapella		1	1988	early	2012	Standing at the Crossroads	south	artist_single	NA
taylorSwift	loveStory	0	0	60.6	16.904	49.209	didactic	0	1	NA	NA	NA	NA	NA	NA	NA
50Cent	candyShop	-1	2.5	97.97097	NA	NA	genre1	1	1	1996	mid	2004	theMassacre	east	undetermined	"betMostInfluential, complexBestSelling, sourceTop50Lyricists"
actionBronson	easyRider	0	0.25	93.96307	NA	NA	genre1	1	0	2008	late	2015	mrWonderful	east	undetermined	xxlFreshmen
andre3k	babylon1	-1	2.75	84.72	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	NA
andre3k	babylon2	0	2.25	84.72	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	elevators1	0	0.25	86	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	elevators4	-1	3.25	86	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	thirteenthFloor1	0	0.25	86	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	extraterrestrial2	-1	3.5	90	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	jazzyBelle1	-1	2.25	92.3	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	millennium1	0	3	93	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	mainstream2	-1	3.25	94	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	ovaDaWudz2	-1	2.5	94	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	twoDopeBoyz4	-1	3.5	94	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
andre3k	wailin2	0	0.25	96	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
eminem	imBack1	0	0.25	90.01828496	0.416	21.745	otherEminem	0	0		NA	2000	The Marshall Mathers LP	midwest	artist_album_nonSingle	
eminem	sayGoodbyeHollywood3	-1	3.5	95.45590136	0.578	20.692	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	soldier1	-1	3.5	94.52075026	0.92	21.233	otherEminem	1	NA	NA	NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	soldier2	-1	3.75	94.51144475	0.369	20.684	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	soldier3	-1	3.25	94.52075026	0.555	20.868	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	squareDance1	0	0	82.08285238	0.115	23.506	otherEminem	0	0		NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	squareDance2	-1	3.5	82.07934337	0.641	24.033	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	squareDance3	0	0	82.14606597	0.495	23.868	otherEminem	0	0		NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	talkin2myself3	-1	2.25	89.96766787	6.673	28.014	otherEminem	0	0	NA	NA	2009	Recovery	midwest	artist_album_nonSingle	
andre3k	atliens4	0	0	97.5	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	NA
andre3k	wheelzOfSteel2	-1	3.75	112	NA	NA	andre3k	1	NA	NA	NA	1996	ATLiens	south	undetermined	
eminem	singForTheMoment3	-1	3.25	82	NA	NA	didactic	1	NA	NA	NA	2003	The Eminem Show	NA	artist_single	
andre3k	yallScared3	-1	3	88	NA	NA	andre3k	1	NA	NA	NA	1998	Aquemini	south	undetermined	
andre3k	aquemini2	0	0	91	NA	NA	andre3k	1	NA	NA	NA	1998	Aquemini	south	undetermined	NA
andre3k	aquemini4	0	0.333333	91	NA	NA	andre3k	1	NA	NA	NA	1998	Aquemini	south	undetermined	NA
andre3k	daArtPartTwo1	0	0	94	NA	NA	andre3k	1	NA	NA	NA	1998	Aquemini	south	undetermined	
andre3k	daArtPartOne2	-1	3.25	105	NA	NA	andre3k	0	NA	NA	NA	1998	Aquemini	south	undetermined	
andre3k	rosaParks2	0	0.25	105	NA	NA	andre3k	0	NA	NA	NA	1998	Aquemini	south	undetermined	
andre3k	skewIt1	-1	3.75	110	NA	NA	andre3k	1	NA	NA	NA	1998	Aquemini	south	undetermined	
eminem	8mile1	-1	3.75	90.17894885	0.258	21.549	otherEminem	1	NA	NA	NA	2002	8 Mile Soundtrack	midwest	artist_single	
eminem	8mile2	-1	3.75	89.9929693	0.633	21.968	otherEminem	1	NA	NA	NA	2002	8 Mile Soundtrack	midwest	artist_single	
eminem	8mile3	-1	3.25	89.92131885	0.491	21.843	otherEminem	1	NA	NA	NA	2002	8 Mile Soundtrack	midwest	artist_single	
eminem	business1	-1	3.25	96.38070378	0.704	20.625	otherEminem	1	NA	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	business2	0	0	96.41458271	0.419	20.333	otherEminem	1	NA	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	business3	-1	3.75	96.40490058	0.721	20.637	otherEminem	1	NA	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	drugBallad2	0	0.25	106.4832788	0.057	18.088	otherEminem	1	NA	NA	NA	2000	The Marshall Mathers LP	midwest	artist_single	
eminem	drugBallad3	0	0.5	104.7406033	0.103	18.434	otherEminem	1	NA	NA	NA	2000	The Marshall Mathers LP	midwest	artist_single	
eminem	myDads1	-1	3.75	87.96041781	1.211	23.039	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	myDads3	-1	3.5	88.00073334	0.756	22.574	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	tillICollapse2	-1	3.25	85.72959457	0.898	23.294	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	tillICollapse3	-1	3.25	85.6836844	0.519	22.927	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	whenImGone1	-1	3	75	0.808	26.408	otherEminem	0	0	NA	NA	2005	Curtain Call	midwest	artist_single	
eminem	whiteAmerica1	-1	3.25	75.00879009	0.984	26.581	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
